CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 15867	0.0013434039300543059	220
Cluster 70159	0.001320855034167088	221
Cluster 49117	0.001304727797435967	222
Cluster 80740	0.0012991568416264418	223
Cluster 59259	0.0012932026745074577	224
Cluster 14233	0.0012721809571804156	225
Cluster 60628	0.0012612183240351045	226
Cluster 28069	0.0012587236393655804	227
Cluster 68451	0.0012538076089657645	228
Cluster 28359	0.0012403897930775784	229
Cluster 91558	0.0012289066596701467	230
Cluster 89519	0.0012279005265573364	231
Cluster 31877	0.0012245600507544761	232
Cluster 1102	0.001210894020198977	233
Cluster 42483	0.0012096956529920402	234
Cluster 11164	0.0011909805126719339	235
Cluster 66051	0.0011824431056098306	236
Cluster 21349	0.0011761060781245675	237
Cluster 67713	0.0011670496798740974	238
Cluster 46347	0.0011670138275361372	239
Cluster 87835	0.0011613192993619244	240
Cluster 59707	0.0011528648455217127	241
Cluster 48228	0.0010865858105747717	242
Cluster 57455	0.0010730480984859061	243
Cluster 24862	0.0010718716019343718	244
Cluster 57541	0.0010703054038255276	245
Cluster 72333	0.0010685399614598198	246
Cluster 53328	0.001058353747826636	247
Cluster 33213	0.0010550526403480737	248
Cluster 33105	0.0010519536692021744	249
Cluster 68820	0.0010395182963757275	250
Cluster 20344	0.0010345535563255242	251
Cluster 69961	0.0010316916757869463	252
Cluster 81480	0.0010265668694228183	253
Cluster 28424	0.001007325775260192	254
Cluster 87258	0.000991820770739231	255
Cluster 26999	0.0009881772503598694	256
Cluster 2106	0.0009830524918165977	257
Cluster 3009	0.0009677861038815301	258
Cluster 32788	0.0009665317406453472	259
Cluster 79278	0.0009391522209938334	260
Cluster 47351	0.0009386811469341042	261
Cluster 66562	0.0009337088722848697	262
Cluster 54395	0.0009270828929100007	263
Cluster 48333	0.0009261014485927304	264
Cluster 39402	0.000920322321732948	265
Cluster 35940	0.0009147573558087805	266
Cluster 29391	0.0009023636357907053	267
Cluster 66590	0.0008917818118073101	268
Cluster 11687	0.0008894688417572519	269
Cluster 19269	0.0008811689186580316	270
Cluster 26856	0.0008765626475873625	271
Cluster 64845	0.0008710277810870783	272
Cluster 1997	0.0008672558088169028	273
Cluster 74659	0.0008668944364029997	274
Cluster 64949	0.0008630535941278941	275
Cluster 18919	0.0008593717387895483	276
Cluster 19756	0.0008590149846525978	277
Cluster 36247	0.0008485512032894075	278
Cluster 70242	0.0008484535718112916	279
Cluster 39788	0.0008460324796837926	280
Cluster 6005	0.0008389944136254806	281
Cluster 31089	0.0008286046123584691	282
Cluster 11444	0.0008260031909970347	283
Cluster 93139	0.0008219275721074535	284
Cluster 66421	0.0008141792690196632	285
Cluster 79865	0.0007914527428000034	286
Cluster 91656	0.0007813171981173191	287
Cluster 79793	0.0007807540244952963	288
Cluster 43150	0.0007758317766344481	289
Cluster 55485	0.0007710171230736354	290
Cluster 43538	0.0007701699321915784	291
Cluster 86376	0.0007652498763997031	292
Cluster 19419	0.0007591199832274663	293
Cluster 61325	0.0007566196843341518	294
Cluster 59986	0.0007524101831591191	295
Cluster 18591	0.0007452899530333674	296
Cluster 17318	0.0007357195990507238	297
Cluster 28227	0.0007329544092864677	298
Cluster 47350	0.0007326085905981335	299
Cluster 48420	0.000729717807773391	300
Cluster 45681	0.0007260408353890497	301
Cluster 2752	0.0007259400977267759	302
Cluster 77724	0.0007246040085705134	303
Cluster 22376	0.0007202017023459575	304
Cluster 2981	0.0007186962604831553	305
Cluster 53861	0.0007174436599521876	306
Cluster 90186	0.0007164191358085865	307
Cluster 48256	0.0007142144685869517	308
Cluster 62518	0.0007129117207215435	309
Cluster 92394	0.0007123369649840072	310
Cluster 86659	0.0007045776952375493	311
Cluster 11239	0.0007015221175673552	312
Cluster 45999	0.0006971785989618689	313
Cluster 88964	0.0006948894631452549	314
Cluster 33924	0.0006948894631452549	315
Cluster 32767	0.0006907043687380603	316
Cluster 17157	0.0006804276617996271	317
Cluster 56960	0.0006767158962052913	318
Cluster 8750	0.0006757807838616107	319
Cluster 82516	0.0006743920119513302	320
Cluster 70794	0.0006723300809961093	321
Cluster 54291	0.0006689869487508105	322
Cluster 54956	0.0006652053570648463	323
Cluster 22327	0.0006642474387387181	324
Cluster 33359	0.000663189977138957	325
Cluster 45985	0.0006593166509181034	326
Cluster 46926	0.0006512688252299999	327
Cluster 43582	0.0006433384363778039	328
Cluster 66076	0.0006429189506969199	329
Cluster 47445	0.0006406744700632868	330
Cluster 9846	0.000638824261688107	331
Cluster 23639	0.000636792223884161	332
Cluster 22454	0.0006323987389589323	333
Cluster 10977	0.0006267475926004086	334
Cluster 90029	0.0006227489568867778	335
Cluster 45684	0.0006220696346792993	336
Cluster 78931	0.0006215057925659782	337
Cluster 80497	0.0006190471383668683	338
Cluster 72417	0.0006159407720232556	339
Cluster 49402	0.0006087902964652721	340
Cluster 32043	0.000602849004212278	341
Cluster 11062	0.0006015400282348946	342
Cluster 54737	0.0006001207262680263	343
Cluster 93468	0.0005980459594839926	344
Cluster 14372	0.0005960105494391894	345
Cluster 4490	0.0005958854102296226	346
Cluster 17536	0.0005920189744909045	347
Cluster 17802	0.0005914278009170859	348
Cluster 16919	0.0005900117238066721	349
