DNA	Degree	Degree Rank
Cluster 7726	4.0	999
Cluster 8100	4.0	1000
Cluster 8306	4.0	1001
Cluster 8854	4.0	1002
Cluster 9710	4.0	1003
Cluster 9870	4.0	1004
Cluster 10194	4.0	1005
Cluster 10548	4.0	1006
Cluster 10610	4.0	1007
Cluster 12591	4.0	1008
Cluster 12753	4.0	1009
Cluster 15418	4.0	1010
Cluster 15649	4.0	1011
Cluster 15825	4.0	1012
Cluster 16022	4.0	1013
Cluster 16052	4.0	1014
Cluster 16056	4.0	1015
Cluster 16474	4.0	1016
Cluster 20243	4.0	1017
Cluster 20567	4.0	1018
Cluster 22463	4.0	1019
Cluster 23216	4.0	1020
Cluster 23610	4.0	1021
Cluster 24449	4.0	1022
Cluster 24463	4.0	1023
Cluster 24982	4.0	1024
Cluster 27976	4.0	1025
Cluster 29391	4.0	1026
Cluster 29451	4.0	1027
Cluster 30189	4.0	1028
Cluster 30595	4.0	1029
Cluster 31775	4.0	1030
Cluster 32874	4.0	1031
Cluster 33162	4.0	1032
Cluster 35201	4.0	1033
Cluster 36648	4.0	1034
Cluster 37470	4.0	1035
Cluster 38656	4.0	1036
Cluster 39020	4.0	1037
Cluster 42352	4.0	1038
Cluster 42482	4.0	1039
Cluster 43515	4.0	1040
Cluster 44566	4.0	1041
Cluster 44927	4.0	1042
Cluster 45116	4.0	1043
Cluster 45684	4.0	1044
Cluster 45799	4.0	1045
Cluster 46935	4.0	1046
Cluster 47381	4.0	1047
Cluster 48228	4.0	1048
Cluster 48233	4.0	1049
Cluster 48420	4.0	1050
Cluster 48451	4.0	1051
Cluster 49885	4.0	1052
Cluster 50003	4.0	1053
Cluster 50583	4.0	1054
Cluster 50670	4.0	1055
Cluster 52085	4.0	1056
Cluster 52715	4.0	1057
Cluster 52807	4.0	1058
Cluster 53142	4.0	1059
Cluster 53441	4.0	1060
Cluster 53574	4.0	1061
Cluster 53765	4.0	1062
Cluster 54063	4.0	1063
Cluster 54095	4.0	1064
Cluster 54250	4.0	1065
Cluster 55314	4.0	1066
Cluster 55944	4.0	1067
Cluster 58005	4.0	1068
Cluster 59404	4.0	1069
Cluster 59689	4.0	1070
Cluster 59740	4.0	1071
Cluster 60000	4.0	1072
Cluster 60957	4.0	1073
Cluster 61627	4.0	1074
Cluster 61953	4.0	1075
Cluster 62020	4.0	1076
Cluster 63109	4.0	1077
Cluster 63696	4.0	1078
Cluster 63811	4.0	1079
Cluster 65989	4.0	1080
Cluster 66309	4.0	1081
Cluster 66313	4.0	1082
Cluster 67726	4.0	1083
Cluster 67865	4.0	1084
Cluster 67984	4.0	1085
Cluster 70023	4.0	1086
Cluster 70201	4.0	1087
Cluster 70204	4.0	1088
Cluster 75307	4.0	1089
Cluster 76749	4.0	1090
Cluster 77800	4.0	1091
Cluster 78031	4.0	1092
Cluster 78925	4.0	1093
Cluster 79166	4.0	1094
Cluster 79603	4.0	1095
Cluster 79958	4.0	1096
Cluster 80284	4.0	1097
Cluster 80897	4.0	1098
Cluster 81624	4.0	1099
Cluster 89950	4.0	1100
Cluster 90569	4.0	1101
Cluster 93488	4.0	1102
Cluster 506	3.0	1103
Cluster 3024	3.0	1104
Cluster 3553	3.0	1105
Cluster 4996	3.0	1106
Cluster 5003	3.0	1107
Cluster 6576	3.0	1108
Cluster 7251	3.0	1109
Cluster 7755	3.0	1110
Cluster 8552	3.0	1111
Cluster 8945	3.0	1112
Cluster 9120	3.0	1113
Cluster 10698	3.0	1114
Cluster 11417	3.0	1115
Cluster 13878	3.0	1116
Cluster 14711	3.0	1117
Cluster 15723	3.0	1118
Cluster 16354	3.0	1119
Cluster 16860	3.0	1120
Cluster 16910	3.0	1121
Cluster 16913	3.0	1122
Cluster 17377	3.0	1123
Cluster 18355	3.0	1124
Cluster 20106	3.0	1125
Cluster 20371	3.0	1126
Cluster 21780	3.0	1127
Cluster 21855	3.0	1128
Cluster 22110	3.0	1129
Cluster 22313	3.0	1130
Cluster 22665	3.0	1131
Cluster 23829	3.0	1132
Cluster 24149	3.0	1133
Cluster 24206	3.0	1134
Cluster 25140	3.0	1135
Cluster 25202	3.0	1136
Cluster 25831	3.0	1137
Cluster 26012	3.0	1138
Cluster 26607	3.0	1139
Cluster 26705	3.0	1140
Cluster 27090	3.0	1141
Cluster 27216	3.0	1142
Cluster 27592	3.0	1143
Cluster 28208	3.0	1144
Cluster 28256	3.0	1145
Cluster 28888	3.0	1146
Cluster 29389	3.0	1147
Cluster 31293	3.0	1148
Cluster 31391	3.0	1149
Cluster 32698	3.0	1150
Cluster 32913	3.0	1151
Cluster 32994	3.0	1152
Cluster 33311	3.0	1153
Cluster 34770	3.0	1154
Cluster 37667	3.0	1155
Cluster 38338	3.0	1156
Cluster 38414	3.0	1157
Cluster 39714	3.0	1158
Cluster 39760	3.0	1159
Cluster 40742	3.0	1160
Cluster 40751	3.0	1161
Cluster 41924	3.0	1162
Cluster 42737	3.0	1163
Cluster 42881	3.0	1164
Cluster 43003	3.0	1165
Cluster 43804	3.0	1166
Cluster 44654	3.0	1167
Cluster 45109	3.0	1168
Cluster 45297	3.0	1169
Cluster 45304	3.0	1170
Cluster 47899	3.0	1171
Cluster 49121	3.0	1172
Cluster 49317	3.0	1173
Cluster 49716	3.0	1174
Cluster 50358	3.0	1175
Cluster 53028	3.0	1176
Cluster 53123	3.0	1177
Cluster 53557	3.0	1178
Cluster 53895	3.0	1179
Cluster 54622	3.0	1180
Cluster 54815	3.0	1181
Cluster 55668	3.0	1182
Cluster 56950	3.0	1183
Cluster 57766	3.0	1184
Cluster 57769	3.0	1185
Cluster 57794	3.0	1186
Cluster 57830	3.0	1187
Cluster 58847	3.0	1188
Cluster 59139	3.0	1189
Cluster 59481	3.0	1190
Cluster 59654	3.0	1191
Cluster 59985	3.0	1192
Cluster 60193	3.0	1193
Cluster 60219	3.0	1194
Cluster 60748	3.0	1195
Cluster 61401	3.0	1196
Cluster 61437	3.0	1197
Cluster 63031	3.0	1198
Cluster 63453	3.0	1199
Cluster 66196	3.0	1200
Cluster 67509	3.0	1201
Cluster 68416	3.0	1202
Cluster 68420	3.0	1203
Cluster 68833	3.0	1204
Cluster 68884	3.0	1205
Cluster 69260	3.0	1206
Cluster 71362	3.0	1207
Cluster 73638	3.0	1208
Cluster 73736	3.0	1209
Cluster 73866	3.0	1210
Cluster 74604	3.0	1211
Cluster 74819	3.0	1212
Cluster 75692	3.0	1213
Cluster 75953	3.0	1214
Cluster 76084	3.0	1215
Cluster 76163	3.0	1216
Cluster 77598	3.0	1217
Cluster 78034	3.0	1218
Cluster 78051	3.0	1219
Cluster 79177	3.0	1220
Cluster 79278	3.0	1221
Cluster 79796	3.0	1222
Cluster 79864	3.0	1223
Cluster 80497	3.0	1224
Cluster 81681	3.0	1225
Cluster 81778	3.0	1226
Cluster 82228	3.0	1227
Cluster 83130	3.0	1228
Cluster 86672	3.0	1229
Cluster 87025	3.0	1230
Cluster 87698	3.0	1231
Cluster 87995	3.0	1232
Cluster 89587	3.0	1233
Cluster 89994	3.0	1234
Cluster 90286	3.0	1235
Cluster 90315	3.0	1236
Cluster 90482	3.0	1237
Cluster 90806	3.0	1238
Cluster 90889	3.0	1239
Cluster 91637	3.0	1240
Cluster 91943	3.0	1241
Cluster 91963	3.0	1242
Cluster 92102	3.0	1243
Cluster 92354	3.0	1244
Cluster 92450	3.0	1245
Cluster 92686	3.0	1246
Cluster 92689	3.0	1247
Cluster 93098	3.0	1248
Cluster 93377	3.0	1249
Cluster 417	2.0	1250
Cluster 807	2.0	1251
Cluster 1048	2.0	1252
Cluster 1401	2.0	1253
Cluster 1783	2.0	1254
Cluster 2417	2.0	1255
Cluster 2514	2.0	1256
Cluster 2582	2.0	1257
Cluster 3784	2.0	1258
Cluster 4421	2.0	1259
Cluster 4543	2.0	1260
Cluster 4777	2.0	1261
Cluster 4909	2.0	1262
Cluster 4922	2.0	1263
Cluster 5307	2.0	1264
Cluster 6287	2.0	1265
Cluster 6580	2.0	1266
Cluster 6606	2.0	1267
Cluster 6869	2.0	1268
Cluster 7483	2.0	1269
Cluster 7675	2.0	1270
Cluster 7789	2.0	1271
Cluster 8098	2.0	1272
Cluster 8099	2.0	1273
Cluster 8114	2.0	1274
Cluster 8279	2.0	1275
Cluster 8367	2.0	1276
Cluster 8738	2.0	1277
Cluster 8965	2.0	1278
Cluster 9114	2.0	1279
Cluster 9136	2.0	1280
Cluster 9210	2.0	1281
Cluster 10289	2.0	1282
Cluster 10977	2.0	1283
Cluster 11156	2.0	1284
Cluster 11190	2.0	1285
Cluster 11216	2.0	1286
Cluster 11926	2.0	1287
Cluster 12134	2.0	1288
Cluster 12399	2.0	1289
Cluster 12409	2.0	1290
Cluster 12510	2.0	1291
Cluster 12734	2.0	1292
Cluster 13104	2.0	1293
Cluster 13199	2.0	1294
Cluster 13373	2.0	1295
Cluster 13775	2.0	1296
Cluster 13949	2.0	1297
Cluster 14744	2.0	1298
Cluster 15431	2.0	1299
Cluster 15481	2.0	1300
Cluster 15718	2.0	1301
Cluster 15774	2.0	1302
Cluster 16015	2.0	1303
Cluster 16394	2.0	1304
Cluster 16592	2.0	1305
Cluster 16849	2.0	1306
Cluster 17435	2.0	1307
Cluster 17451	2.0	1308
Cluster 18008	2.0	1309
Cluster 18230	2.0	1310
Cluster 18279	2.0	1311
Cluster 18286	2.0	1312
Cluster 18539	2.0	1313
Cluster 18708	2.0	1314
Cluster 21121	2.0	1315
Cluster 21295	2.0	1316
Cluster 21817	2.0	1317
Cluster 21857	2.0	1318
Cluster 22791	2.0	1319
Cluster 23386	2.0	1320
Cluster 23902	2.0	1321
Cluster 24133	2.0	1322
Cluster 24233	2.0	1323
Cluster 24743	2.0	1324
Cluster 24815	2.0	1325
Cluster 24854	2.0	1326
Cluster 24863	2.0	1327
Cluster 24963	2.0	1328
Cluster 24972	2.0	1329
Cluster 25779	2.0	1330
Cluster 26690	2.0	1331
Cluster 26711	2.0	1332
Cluster 26857	2.0	1333
Cluster 26861	2.0	1334
Cluster 27700	2.0	1335
Cluster 27794	2.0	1336
Cluster 27830	2.0	1337
Cluster 28123	2.0	1338
Cluster 28239	2.0	1339
Cluster 28667	2.0	1340
Cluster 28856	2.0	1341
Cluster 29082	2.0	1342
Cluster 29674	2.0	1343
Cluster 31348	2.0	1344
Cluster 32279	2.0	1345
Cluster 32281	2.0	1346
Cluster 32963	2.0	1347
Cluster 33359	2.0	1348
Cluster 33576	2.0	1349
Cluster 34011	2.0	1350
Cluster 34202	2.0	1351
Cluster 35276	2.0	1352
Cluster 35839	2.0	1353
Cluster 35840	2.0	1354
Cluster 36145	2.0	1355
Cluster 36491	2.0	1356
Cluster 36493	2.0	1357
Cluster 36503	2.0	1358
Cluster 36545	2.0	1359
Cluster 37226	2.0	1360
Cluster 37306	2.0	1361
Cluster 37687	2.0	1362
Cluster 37767	2.0	1363
Cluster 37928	2.0	1364
Cluster 38003	2.0	1365
Cluster 38159	2.0	1366
Cluster 38627	2.0	1367
Cluster 38646	2.0	1368
Cluster 38904	2.0	1369
Cluster 39424	2.0	1370
Cluster 40330	2.0	1371
Cluster 40563	2.0	1372
Cluster 40574	2.0	1373
Cluster 42089	2.0	1374
Cluster 42418	2.0	1375
Cluster 43006	2.0	1376
Cluster 43192	2.0	1377
Cluster 43279	2.0	1378
Cluster 44591	2.0	1379
Cluster 44704	2.0	1380
Cluster 44956	2.0	1381
Cluster 45888	2.0	1382
Cluster 45997	2.0	1383
Cluster 46022	2.0	1384
Cluster 46638	2.0	1385
Cluster 46940	2.0	1386
Cluster 47408	2.0	1387
Cluster 47588	2.0	1388
Cluster 47660	2.0	1389
Cluster 47864	2.0	1390
Cluster 47874	2.0	1391
Cluster 47942	2.0	1392
Cluster 47977	2.0	1393
Cluster 48079	2.0	1394
Cluster 48250	2.0	1395
Cluster 48312	2.0	1396
Cluster 48386	2.0	1397
Cluster 48583	2.0	1398
Cluster 48613	2.0	1399
Cluster 48663	2.0	1400
Cluster 48955	2.0	1401
Cluster 49154	2.0	1402
Cluster 49274	2.0	1403
Cluster 49998	2.0	1404
Cluster 50307	2.0	1405
Cluster 51345	2.0	1406
Cluster 51650	2.0	1407
Cluster 52719	2.0	1408
Cluster 52721	2.0	1409
Cluster 52773	2.0	1410
Cluster 53110	2.0	1411
Cluster 53186	2.0	1412
Cluster 54658	2.0	1413
Cluster 54691	2.0	1414
Cluster 54956	2.0	1415
Cluster 55191	2.0	1416
Cluster 55691	2.0	1417
Cluster 56161	2.0	1418
Cluster 56338	2.0	1419
Cluster 56818	2.0	1420
Cluster 57458	2.0	1421
Cluster 57734	2.0	1422
Cluster 59178	2.0	1423
Cluster 60102	2.0	1424
Cluster 60321	2.0	1425
Cluster 60870	2.0	1426
Cluster 61413	2.0	1427
Cluster 61629	2.0	1428
Cluster 62047	2.0	1429
Cluster 62422	2.0	1430
Cluster 62552	2.0	1431
Cluster 62789	2.0	1432
Cluster 62794	2.0	1433
Cluster 63418	2.0	1434
Cluster 63842	2.0	1435
Cluster 64651	2.0	1436
Cluster 64704	2.0	1437
Cluster 64837	2.0	1438
Cluster 64846	2.0	1439
Cluster 65479	2.0	1440
Cluster 65774	2.0	1441
Cluster 66205	2.0	1442
Cluster 66342	2.0	1443
Cluster 67031	2.0	1444
Cluster 67085	2.0	1445
Cluster 67219	2.0	1446
Cluster 67268	2.0	1447
Cluster 67519	2.0	1448
Cluster 67611	2.0	1449
Cluster 68636	2.0	1450
Cluster 69186	2.0	1451
Cluster 69697	2.0	1452
Cluster 69846	2.0	1453
Cluster 70293	2.0	1454
Cluster 71971	2.0	1455
Cluster 74715	2.0	1456
Cluster 74967	2.0	1457
Cluster 75209	2.0	1458
Cluster 75379	2.0	1459
Cluster 75435	2.0	1460
Cluster 75752	2.0	1461
Cluster 75904	2.0	1462
Cluster 76602	2.0	1463
Cluster 76690	2.0	1464
Cluster 77151	2.0	1465
Cluster 77677	2.0	1466
Cluster 78011	2.0	1467
Cluster 78216	2.0	1468
Cluster 78690	2.0	1469
Cluster 78933	2.0	1470
Cluster 79155	2.0	1471
Cluster 79179	2.0	1472
Cluster 81688	2.0	1473
Cluster 82025	2.0	1474
Cluster 83310	2.0	1475
Cluster 83652	2.0	1476
Cluster 83778	2.0	1477
Cluster 83825	2.0	1478
Cluster 83887	2.0	1479
Cluster 83989	2.0	1480
Cluster 86030	2.0	1481
Cluster 86245	2.0	1482
Cluster 86375	2.0	1483
Cluster 86943	2.0	1484
Cluster 87071	2.0	1485
Cluster 87225	2.0	1486
Cluster 87911	2.0	1487
Cluster 88253	2.0	1488
Cluster 88439	2.0	1489
Cluster 88676	2.0	1490
Cluster 89185	2.0	1491
Cluster 89205	2.0	1492
Cluster 89436	2.0	1493
Cluster 89952	2.0	1494
Cluster 90170	2.0	1495
Cluster 90750	2.0	1496
Cluster 90952	2.0	1497
Cluster 91054	2.0	1498
Cluster 91329	2.0	1499
Cluster 92284	2.0	1500
Cluster 92400	2.0	1501
Cluster 92589	2.0	1502
Cluster 92978	2.0	1503
Cluster 93168	2.0	1504
Cluster 93206	2.0	1505
Cluster 50492	2.0	1506
Cluster 106	1.0	1507
Cluster 291	1.0	1508
Cluster 427	1.0	1509
Cluster 763	1.0	1510
Cluster 965	1.0	1511
Cluster 1135	1.0	1512
Cluster 1217	1.0	1513
Cluster 1222	1.0	1514
Cluster 1228	1.0	1515
Cluster 1994	1.0	1516
Cluster 2070	1.0	1517
Cluster 2148	1.0	1518
Cluster 2160	1.0	1519
Cluster 2430	1.0	1520
Cluster 2571	1.0	1521
Cluster 2753	1.0	1522
Cluster 2835	1.0	1523
Cluster 3036	1.0	1524
Cluster 3053	1.0	1525
Cluster 3289	1.0	1526
Cluster 3710	1.0	1527
Cluster 3959	1.0	1528
Cluster 4103	1.0	1529
Cluster 4237	1.0	1530
Cluster 4467	1.0	1531
Cluster 4999	1.0	1532
Cluster 5442	1.0	1533
Cluster 5574	1.0	1534
Cluster 5580	1.0	1535
Cluster 5763	1.0	1536
Cluster 6003	1.0	1537
Cluster 6047	1.0	1538
Cluster 6232	1.0	1539
Cluster 6248	1.0	1540
Cluster 6304	1.0	1541
Cluster 6363	1.0	1542
Cluster 6851	1.0	1543
Cluster 7274	1.0	1544
Cluster 7518	1.0	1545
Cluster 7617	1.0	1546
Cluster 7626	1.0	1547
Cluster 7665	1.0	1548
Cluster 7758	1.0	1549
Cluster 7765	1.0	1550
Cluster 7792	1.0	1551
Cluster 8366	1.0	1552
Cluster 8531	1.0	1553
Cluster 8718	1.0	1554
Cluster 9203	1.0	1555
Cluster 9510	1.0	1556
Cluster 9559	1.0	1557
Cluster 9697	1.0	1558
Cluster 10041	1.0	1559
Cluster 10198	1.0	1560
Cluster 10218	1.0	1561
Cluster 10467	1.0	1562
Cluster 10677	1.0	1563
Cluster 10765	1.0	1564
Cluster 11019	1.0	1565
Cluster 11182	1.0	1566
Cluster 11239	1.0	1567
Cluster 11539	1.0	1568
Cluster 11587	1.0	1569
Cluster 11868	1.0	1570
Cluster 12045	1.0	1571
Cluster 12050	1.0	1572
Cluster 12063	1.0	1573
Cluster 12148	1.0	1574
Cluster 12295	1.0	1575
Cluster 12346	1.0	1576
Cluster 12748	1.0	1577
Cluster 12837	1.0	1578
Cluster 12916	1.0	1579
Cluster 13038	1.0	1580
Cluster 13209	1.0	1581
Cluster 13368	1.0	1582
Cluster 13377	1.0	1583
Cluster 13500	1.0	1584
Cluster 13655	1.0	1585
Cluster 13781	1.0	1586
Cluster 13790	1.0	1587
Cluster 14035	1.0	1588
Cluster 14263	1.0	1589
Cluster 14333	1.0	1590
Cluster 14429	1.0	1591
Cluster 14646	1.0	1592
Cluster 14688	1.0	1593
Cluster 14885	1.0	1594
Cluster 15084	1.0	1595
Cluster 15140	1.0	1596
Cluster 15159	1.0	1597
Cluster 15724	1.0	1598
Cluster 15850	1.0	1599
Cluster 15906	1.0	1600
Cluster 16175	1.0	1601
Cluster 16276	1.0	1602
Cluster 16300	1.0	1603
Cluster 16371	1.0	1604
Cluster 16839	1.0	1605
Cluster 17170	1.0	1606
Cluster 17202	1.0	1607
Cluster 17688	1.0	1608
Cluster 17709	1.0	1609
Cluster 18141	1.0	1610
Cluster 18195	1.0	1611
Cluster 18221	1.0	1612
Cluster 18341	1.0	1613
Cluster 18408	1.0	1614
Cluster 18411	1.0	1615
Cluster 18518	1.0	1616
Cluster 18521	1.0	1617
Cluster 18586	1.0	1618
Cluster 19271	1.0	1619
Cluster 19429	1.0	1620
Cluster 19476	1.0	1621
Cluster 19758	1.0	1622
Cluster 20087	1.0	1623
Cluster 20343	1.0	1624
Cluster 21009	1.0	1625
Cluster 21592	1.0	1626
Cluster 21665	1.0	1627
Cluster 21832	1.0	1628
Cluster 22001	1.0	1629
Cluster 22324	1.0	1630
Cluster 22373	1.0	1631
Cluster 22395	1.0	1632
Cluster 22430	1.0	1633
Cluster 23456	1.0	1634
Cluster 23795	1.0	1635
Cluster 23858	1.0	1636
Cluster 24249	1.0	1637
Cluster 24424	1.0	1638
Cluster 24579	1.0	1639
Cluster 24971	1.0	1640
Cluster 24995	1.0	1641
Cluster 25068	1.0	1642
Cluster 25189	1.0	1643
Cluster 25253	1.0	1644
Cluster 25472	1.0	1645
Cluster 25869	1.0	1646
Cluster 26153	1.0	1647
Cluster 26340	1.0	1648
Cluster 26467	1.0	1649
Cluster 26525	1.0	1650
Cluster 26664	1.0	1651
Cluster 26741	1.0	1652
Cluster 26876	1.0	1653
Cluster 27284	1.0	1654
Cluster 27314	1.0	1655
Cluster 27319	1.0	1656
Cluster 27391	1.0	1657
Cluster 27540	1.0	1658
Cluster 27696	1.0	1659
Cluster 27774	1.0	1660
Cluster 27812	1.0	1661
Cluster 27951	1.0	1662
Cluster 28081	1.0	1663
Cluster 28167	1.0	1664
Cluster 28194	1.0	1665
Cluster 28278	1.0	1666
Cluster 28481	1.0	1667
Cluster 28655	1.0	1668
Cluster 28676	1.0	1669
Cluster 28872	1.0	1670
Cluster 29026	1.0	1671
Cluster 29309	1.0	1672
Cluster 29775	1.0	1673
Cluster 30242	1.0	1674
Cluster 30666	1.0	1675
Cluster 31064	1.0	1676
Cluster 31148	1.0	1677
Cluster 31151	1.0	1678
Cluster 31581	1.0	1679
Cluster 31627	1.0	1680
Cluster 31741	1.0	1681
Cluster 31868	1.0	1682
Cluster 31954	1.0	1683
Cluster 32049	1.0	1684
Cluster 32148	1.0	1685
Cluster 32501	1.0	1686
Cluster 32547	1.0	1687
Cluster 32568	1.0	1688
Cluster 32651	1.0	1689
Cluster 33068	1.0	1690
Cluster 33603	1.0	1691
Cluster 34025	1.0	1692
Cluster 34293	1.0	1693
Cluster 34294	1.0	1694
Cluster 34392	1.0	1695
Cluster 34489	1.0	1696
Cluster 34552	1.0	1697
Cluster 34680	1.0	1698
Cluster 34713	1.0	1699
Cluster 34921	1.0	1700
Cluster 35266	1.0	1701
Cluster 35736	1.0	1702
Cluster 36095	1.0	1703
Cluster 36386	1.0	1704
Cluster 36401	1.0	1705
Cluster 36729	1.0	1706
Cluster 36781	1.0	1707
Cluster 36798	1.0	1708
Cluster 37002	1.0	1709
Cluster 37046	1.0	1710
Cluster 37198	1.0	1711
Cluster 37260	1.0	1712
Cluster 37322	1.0	1713
Cluster 37495	1.0	1714
Cluster 37662	1.0	1715
Cluster 37906	1.0	1716
Cluster 38181	1.0	1717
Cluster 38631	1.0	1718
Cluster 38676	1.0	1719
Cluster 38990	1.0	1720
Cluster 39095	1.0	1721
Cluster 39434	1.0	1722
Cluster 39505	1.0	1723
Cluster 40017	1.0	1724
Cluster 40212	1.0	1725
Cluster 40446	1.0	1726
Cluster 40963	1.0	1727
Cluster 41027	1.0	1728
Cluster 41207	1.0	1729
Cluster 41521	1.0	1730
Cluster 42066	1.0	1731
Cluster 42309	1.0	1732
Cluster 42355	1.0	1733
Cluster 42401	1.0	1734
Cluster 42461	1.0	1735
Cluster 42696	1.0	1736
Cluster 42788	1.0	1737
Cluster 43157	1.0	1738
Cluster 43430	1.0	1739
Cluster 43566	1.0	1740
Cluster 43969	1.0	1741
Cluster 44152	1.0	1742
Cluster 44555	1.0	1743
Cluster 45166	1.0	1744
Cluster 45287	1.0	1745
Cluster 45422	1.0	1746
Cluster 45475	1.0	1747
Cluster 45500	1.0	1748
Cluster 45517	1.0	1749
Cluster 45538	1.0	1750
Cluster 45926	1.0	1751
Cluster 46117	1.0	1752
Cluster 46181	1.0	1753
Cluster 46294	1.0	1754
Cluster 46936	1.0	1755
Cluster 47004	1.0	1756
Cluster 47067	1.0	1757
Cluster 47340	1.0	1758
Cluster 47619	1.0	1759
Cluster 47994	1.0	1760
Cluster 48216	1.0	1761
Cluster 48357	1.0	1762
Cluster 48805	1.0	1763
Cluster 49022	1.0	1764
Cluster 49356	1.0	1765
Cluster 49368	1.0	1766
Cluster 49767	1.0	1767
Cluster 49816	1.0	1768
Cluster 49877	1.0	1769
Cluster 49974	1.0	1770
Cluster 49979	1.0	1771
Cluster 50056	1.0	1772
Cluster 50066	1.0	1773
Cluster 50103	1.0	1774
Cluster 50116	1.0	1775
Cluster 50455	1.0	1776
Cluster 51319	1.0	1777
Cluster 51623	1.0	1778
Cluster 51707	1.0	1779
Cluster 51732	1.0	1780
Cluster 51889	1.0	1781
Cluster 51985	1.0	1782
Cluster 52029	1.0	1783
Cluster 52169	1.0	1784
Cluster 53120	1.0	1785
Cluster 53201	1.0	1786
Cluster 53371	1.0	1787
Cluster 53924	1.0	1788
Cluster 54077	1.0	1789
Cluster 54098	1.0	1790
Cluster 54164	1.0	1791
Cluster 54391	1.0	1792
Cluster 54713	1.0	1793
Cluster 55064	1.0	1794
Cluster 55125	1.0	1795
Cluster 55221	1.0	1796
Cluster 55259	1.0	1797
Cluster 55534	1.0	1798
Cluster 55639	1.0	1799
Cluster 55673	1.0	1800
Cluster 55741	1.0	1801
Cluster 56353	1.0	1802
Cluster 56896	1.0	1803
Cluster 57132	1.0	1804
Cluster 57252	1.0	1805
Cluster 57489	1.0	1806
Cluster 57876	1.0	1807
Cluster 58284	1.0	1808
Cluster 58373	1.0	1809
Cluster 58743	1.0	1810
Cluster 58910	1.0	1811
Cluster 59378	1.0	1812
Cluster 59606	1.0	1813
Cluster 59734	1.0	1814
Cluster 59998	1.0	1815
Cluster 60047	1.0	1816
Cluster 60069	1.0	1817
Cluster 60106	1.0	1818
Cluster 60213	1.0	1819
Cluster 60423	1.0	1820
Cluster 60857	1.0	1821
Cluster 60984	1.0	1822
Cluster 61360	1.0	1823
Cluster 61701	1.0	1824
Cluster 61732	1.0	1825
Cluster 61851	1.0	1826
Cluster 62006	1.0	1827
Cluster 62186	1.0	1828
Cluster 62280	1.0	1829
Cluster 62691	1.0	1830
Cluster 62788	1.0	1831
Cluster 63375	1.0	1832
Cluster 63581	1.0	1833
Cluster 63584	1.0	1834
Cluster 63659	1.0	1835
Cluster 63741	1.0	1836
Cluster 63798	1.0	1837
Cluster 64041	1.0	1838
Cluster 64319	1.0	1839
Cluster 64360	1.0	1840
Cluster 64676	1.0	1841
Cluster 64893	1.0	1842
Cluster 65052	1.0	1843
Cluster 65210	1.0	1844
Cluster 65286	1.0	1845
Cluster 65399	1.0	1846
Cluster 65493	1.0	1847
Cluster 65932	1.0	1848
Cluster 65952	1.0	1849
Cluster 65986	1.0	1850
Cluster 66019	1.0	1851
Cluster 66046	1.0	1852
Cluster 66062	1.0	1853
Cluster 66199	1.0	1854
Cluster 66730	1.0	1855
Cluster 66910	1.0	1856
Cluster 66943	1.0	1857
Cluster 67148	1.0	1858
Cluster 67253	1.0	1859
Cluster 67570	1.0	1860
Cluster 67701	1.0	1861
Cluster 67809	1.0	1862
Cluster 67895	1.0	1863
Cluster 68443	1.0	1864
Cluster 68520	1.0	1865
Cluster 68824	1.0	1866
Cluster 68962	1.0	1867
Cluster 69191	1.0	1868
Cluster 69628	1.0	1869
Cluster 69709	1.0	1870
Cluster 69987	1.0	1871
Cluster 70097	1.0	1872
Cluster 70239	1.0	1873
Cluster 70345	1.0	1874
Cluster 70665	1.0	1875
Cluster 70729	1.0	1876
Cluster 71000	1.0	1877
Cluster 71356	1.0	1878
Cluster 71468	1.0	1879
Cluster 72035	1.0	1880
Cluster 72206	1.0	1881
Cluster 72253	1.0	1882
Cluster 72278	1.0	1883
Cluster 72357	1.0	1884
Cluster 72652	1.0	1885
Cluster 72738	1.0	1886
Cluster 72834	1.0	1887
Cluster 72859	1.0	1888
Cluster 73264	1.0	1889
Cluster 73505	1.0	1890
Cluster 73506	1.0	1891
Cluster 73540	1.0	1892
Cluster 73668	1.0	1893
Cluster 73684	1.0	1894
Cluster 73719	1.0	1895
Cluster 74016	1.0	1896
Cluster 74955	1.0	1897
Cluster 75340	1.0	1898
Cluster 75653	1.0	1899
Cluster 75678	1.0	1900
Cluster 75693	1.0	1901
Cluster 75733	1.0	1902
Cluster 75788	1.0	1903
Cluster 75999	1.0	1904
Cluster 76088	1.0	1905
Cluster 76311	1.0	1906
Cluster 76494	1.0	1907
Cluster 76519	1.0	1908
Cluster 76581	1.0	1909
Cluster 76611	1.0	1910
Cluster 76629	1.0	1911
Cluster 76758	1.0	1912
Cluster 76768	1.0	1913
Cluster 76821	1.0	1914
Cluster 77185	1.0	1915
Cluster 77274	1.0	1916
Cluster 77289	1.0	1917
Cluster 78099	1.0	1918
Cluster 78105	1.0	1919
Cluster 78149	1.0	1920
Cluster 78618	1.0	1921
Cluster 79791	1.0	1922
Cluster 79795	1.0	1923
Cluster 79822	1.0	1924
Cluster 80279	1.0	1925
Cluster 81499	1.0	1926
Cluster 81555	1.0	1927
Cluster 81647	1.0	1928
Cluster 81797	1.0	1929
Cluster 82028	1.0	1930
