"ZNF112"	"ARID4A"	+
"MTMR1"	"ARID4A"	+
"ADAT1"	"ARID4A"	+
"CYB5R4"	"ARID4A"	+
"HYAL2"	"ARID4A"	-
"IP6K2"	"ARID4A"	-
"IFT80"	"ARID4A"	+
"NUCKS1"	"ARID4A"	+
"DGCR2"	"ARID4A"	-
"ADGRL1"	"ARID4A"	-
"ASIC4"	"ARID4A"	-
"CLASP1"	"ARID4A"	+
"TMEM131"	"ARID4A"	+
"TM9SF3"	"ARID4A"	+
"ULK2"	"ARID4A"	+
"MYNN"	"ARID4A"	+
"CPNE3"	"ARID4A"	+
"NSFL1C"	"ARID4A"	-
"CUL7"	"PNPLA6"	+
"EPHA3"	"PNPLA6"	-
"MRTO4"	"PNPLA6"	+
"ADAT1"	"PNPLA6"	-
"COASY"	"PNPLA6"	+
"IFT80"	"PNPLA6"	-
"BCL3"	"PNPLA6"	+
"DGCR2"	"PNPLA6"	+
"ADGRL1"	"PNPLA6"	+
"ASIC4"	"PNPLA6"	+
"CLASP1"	"PNPLA6"	-
"PTPN23"	"PNPLA6"	+
"LRCH4"	"PNPLA6"	+
"ZNF446"	"PNPLA6"	+
"MYNN"	"PNPLA6"	-
"NSFL1C"	"PNPLA6"	+
"ZC3H11A"	"METTL1"	-
"YIPF1"	"METTL1"	+
"ZNF112"	"METTL1"	-
"CYB5R4"	"METTL1"	-
"HYAL2"	"METTL1"	+
"MPP5"	"METTL1"	-
"PVR"	"METTL1"	+
"CLASP1"	"METTL1"	-
"ENO1"	"METTL1"	+
"FRYL"	"METTL1"	-
"TMEM131"	"METTL1"	-
"ULK2"	"METTL1"	-
"NSFL1C"	"METTL1"	+
"EPHA3"	"MSR1"	+
"DGCR2"	"MSR1"	-
"TMEM131"	"MSR1"	+
"TM9SF3"	"MSR1"	+
"ENO1"	"C6"	-
"MRPS10"	"CUL7"	+
"VAMP3"	"CUL7"	-
"COASY"	"CUL7"	+
"IFT80"	"CUL7"	-
"DGCR2"	"CUL7"	+
"MCM2"	"CUL7"	+
"PTPN23"	"CUL7"	+
"TM9SF3"	"CUL7"	-
"LRCH4"	"CUL7"	+
"ZNF446"	"CUL7"	+
"CAD"	"CUL7"	+
"PRDM1"	"EPHA3"	+
"ZC3H11A"	"EPHA3"	+
"IP6K2"	"EPHA3"	-
"MPP5"	"EPHA3"	+
"FRYL"	"EPHA3"	+
"TMEM131"	"EPHA3"	+
"TM9SF3"	"EPHA3"	+
"PTPN23"	"GPM6B"	-
"YIPF1"	"SCML1"	-
"DGCR2"	"SCML1"	-
"XRCC5"	"SCML1"	-
