"C6"	"SNX1"	+
"EPHA3"	"SNX1"	+
"SCML1"	"SNX1"	+
"MRPS10"	"SNX1"	-
"VAMP3"	"SNX1"	+
"FOXP3"	"SNX1"	-
"MRTO4"	"SNX1"	-
"GYG2"	"SNX1"	+
"RASGRF1"	"SNX1"	-
"SPAG4"	"SNX1"	-
"ZNF112"	"SNX1"	+
"COL17A1"	"SNX1"	+
"RRP15"	"SNX1"	-
"MAST4"	"SNX1"	+
"ST6GALNAC1"	"SNX1"	+
"SLC6A15"	"SNX1"	-
"MPP5"	"SNX1"	+
"HMMR"	"SNX1"	-
"PVR"	"SNX1"	-
"MCM2"	"SNX1"	-
"MGLL"	"SNX1"	+
"ENO1"	"SNX1"	-
"CST7"	"SNX1"	-
"BPIFB2"	"SNX1"	+
"ME2"	"SNX1"	-
"ITGB5"	"SNX1"	+
"ULK2"	"SNX1"	+
"CAD"	"SNX1"	-
"PREP"	"SNX1"	-
"MSR1"	"ARNTL2"	+
"GPM6B"	"ARNTL2"	+
"MRPS10"	"ARNTL2"	+
"FOXP3"	"ARNTL2"	+
"PRDM1"	"ARNTL2"	+
"TMCC3"	"ARNTL2"	+
"RASGRF1"	"ARNTL2"	+
"YIPF1"	"ARNTL2"	-
"CYB5R4"	"ARNTL2"	+
"COASY"	"ARNTL2"	-
"IP6K2"	"ARNTL2"	-
"MAST4"	"ARNTL2"	-
"SLC6A15"	"ARNTL2"	+
"ADGRL1"	"ARNTL2"	-
"HMMR"	"ARNTL2"	+
"PVR"	"ARNTL2"	+
"MCM2"	"ARNTL2"	+
"CLASP1"	"ARNTL2"	+
"IPCEF1"	"ARNTL2"	+
"ENO1"	"ARNTL2"	+
"PLD1"	"ARNTL2"	+
"MCAM"	"ARNTL2"	+
"CST7"	"ARNTL2"	+
"NEBL"	"ARNTL2"	-
"BPIFB2"	"ARNTL2"	-
"RABL2B"	"ARNTL2"	-
"ME2"	"ARNTL2"	+
"ITGB5"	"ARNTL2"	-
"ZNF446"	"ARNTL2"	-
"FAT1"	"ARNTL2"	+
"CAD"	"ARNTL2"	+
"PREP"	"ARNTL2"	+
"ATG16L1"	"ARNTL2"	-
"HSD17B2"	"ARNTL2"	+
"CETP"	"ARNTL2"	+
"DOCK3"	"ARNTL2"	+
"METTL1"	"ARID4A"	-
"C6"	"ARID4A"	+
"EPHA3"	"ARID4A"	+
"SCML1"	"ARID4A"	+
"VAMP3"	"ARID4A"	+
"FOXP3"	"ARID4A"	-
"MRTO4"	"ARID4A"	-
"PRDM1"	"ARID4A"	+
"TMCC3"	"ARID4A"	+
"SPAG4"	"ARID4A"	-
"CLDN18"	"ARID4A"	+
"COASY"	"ARID4A"	-
"MAST4"	"ARID4A"	+
"BCL3"	"ARID4A"	-
"ST6GALNAC1"	"ARID4A"	+
"MPP5"	"ARID4A"	+
"HMMR"	"ARID4A"	-
"PVR"	"ARID4A"	-
"MCM2"	"ARID4A"	-
"SNCB"	"ARID4A"	-
"MGLL"	"ARID4A"	+
"ENO1"	"ARID4A"	-
"FOSL2"	"ARID4A"	+
"FRYL"	"ARID4A"	+
"PLD1"	"ARID4A"	+
"NEBL"	"ARID4A"	+
"CDC14A"	"ARID4A"	+
"ZNF446"	"ARID4A"	-
"FAT1"	"ARID4A"	+
"CAD"	"ARID4A"	-
"ERO1B"	"ARID4A"	+
"FOXP3"	"PNPLA6"	+
"ZC3H11A"	"PNPLA6"	-
"ZNF112"	"PNPLA6"	-
"PHKA1"	"PNPLA6"	-
"RRP15"	"PNPLA6"	-
"HYAL2"	"PNPLA6"	+
"MAST4"	"PNPLA6"	-
"NUCKS1"	"PNPLA6"	-
"MPP5"	"PNPLA6"	-
"MCM2"	"PNPLA6"	+
"ENO1"	"PNPLA6"	+
"FRYL"	"PNPLA6"	-
"TMEM131"	"PNPLA6"	-
"TM9SF3"	"PNPLA6"	-
"CST7"	"PNPLA6"	+
"NEBL"	"PNPLA6"	-
"XRCC5"	"PNPLA6"	-
"CAD"	"PNPLA6"	+
"CPNE3"	"PNPLA6"	-
"PPP1R15A"	"PNPLA6"	+
"GPM6B"	"USP2"	+
"SLC6A15"	"USP2"	+
"PVR"	"USP2"	+
"ENO1"	"USP2"	+
"PLD1"	"USP2"	+
"SLCO1A2"	"USP2"	+
"ATG16L1"	"USP2"	-
"HSD17B2"	"USP2"	+
"PPP1R15A"	"USP2"	+
"C6"	"METTL1"	-
"EPHA3"	"METTL1"	-
"GPM6B"	"METTL1"	-
"SCML1"	"METTL1"	-
"MRPS10"	"METTL1"	+
"VAMP3"	"METTL1"	-
"MSMO1"	"METTL1"	+
"MRTO4"	"METTL1"	+
"GYG2"	"METTL1"	-
"TMCC3"	"METTL1"	-
"SPAG4"	"METTL1"	+
"COL17A1"	"METTL1"	-
"CLDN18"	"METTL1"	-
"RRP15"	"METTL1"	+
"COASY"	"METTL1"	+
"MAST4"	"METTL1"	-
"BCL3"	"METTL1"	+
"ST6GALNAC1"	"METTL1"	-
"HMMR"	"METTL1"	+
"MCM2"	"METTL1"	+
"MGLL"	"METTL1"	-
"IPCEF1"	"METTL1"	-
"FOSL2"	"METTL1"	-
"PLD1"	"METTL1"	-
"MCAM"	"METTL1"	-
"RARB"	"METTL1"	-
"CDC14A"	"METTL1"	-
