#SOURCE	#TARGET	#INTENSITY	#CORR_COEFF
9	101	-1.0	-0.49226691371183
9	103	-1.0	-0.503668620695392
9	91	-2.0	-0.484316967312962
9	92	-5.0	-0.464106983217214
9	79	-5.0	-0.511179388196916
9	69	-25.0	-0.528937828791527
9	105	-1.0	-0.43866831055338
9	108	-1.0	-0.519160520342602
10	52	-1.0	-0.53652522446725
10	54	-1.0	-0.508442989986368
10	58	-2.0	-0.565359910849271
10	60	-1.0	-0.5608856926971
10	65	-2.0	-0.550195269119815
10	66	-1.0	-0.598889960921243
10	70	-1.0	-0.571284225897784
95	11	-6.0	-0.468934211394026
95	14	-14.0	-0.576243409533211
95	15	-1.0	-0.470190939021816
95	17	-2.0	-0.498125787030595
95	18	-1.0	-0.50956701842055
95	25	-2.0	-0.487086950177793
95	28	-1.0	-0.441228469072321
95	29	-12.0	-0.560254488387985
95	31	-1.0	-0.465123029485819
95	34	-3.0	-0.490654858800247
95	35	-1.0	-0.479968457142706
95	36	-6.0	-0.573152248153314
95	43	-1.0	-0.474699796634794
52	13	-1.0	-0.517529423356131
52	14	-130.0	-0.567178274576942
52	17	-49.0	-0.50059674692238
52	18	-10.0	-0.546439336109183
52	19	-6.0	-0.584212274290626
52	20	-2.0	-0.555233007622914
52	22	-1.0	-0.544838517982923
52	24	-2.0	-0.506443470345568
52	25	-19.0	-0.534067959299781
52	28	-29.0	-0.545751482131825
52	30	-1.0	-0.467878297780407
52	31	-25.0	-0.567759123411877
52	32	-3.0	-0.546272553512965
52	33	-5.0	-0.51234829212488
52	34	-36.0	-0.563112346577286
52	35	-13.0	-0.582021843164294
52	37	-1.0	-0.51906052638417
52	39	-1.0	-0.530962565337072
52	41	-7.0	-0.562712787280426
52	42	-26.0	-0.545550415954889
52	43	-3.0	-0.518003584286025
73	11	-15.0	-0.562389935765574
73	14	-22.0	-0.581003478961849
73	17	-7.0	-0.514981827702283
73	20	-1.0	-0.48357119141239
73	25	-3.0	-0.504166190606664
73	27	-3.0	-0.547159503876072
73	28	-1.0	-0.462013134266455
73	31	-1.0	-0.481318147542015
73	34	-5.0	-0.521042489284501
73	36	-13.0	-0.585039682446454
73	41	-1.0	-0.478232088879231
73	42	-4.0	-0.526574947416525
11	109	-2.0	-0.526921951371419
11	110	-1.0	-0.597048849000914
11	111	-1.0	-0.473133869111193
11	53	-23.0	-0.55187048616549
11	96	-1.0	-0.556863303128436
11	112	-1.0	-0.433563527170709
11	113	-1.0	-0.560094080356092
11	114	-1.0	-0.5134732528876
11	56	-24.0	-0.547900385804319
11	57	-121.0	-0.588448407306686
11	86	-8.0	-0.597136587797528
11	59	-61.0	-0.559204875240461
11	115	-1.0	-0.583866380511169
11	107	-4.0	-0.570855769551272
11	116	-2.0	-0.457395657608085
11	97	-2.0	-0.407885967934419
11	98	-2.0	-0.511334520661806
11	99	-15.0	-0.437831539928404
11	63	-54.0	-0.565604050906932
11	117	-2.0	-0.446176514477392
11	75	-8.0	-0.530423350370829
11	118	-1.0	-0.576354195540933
11	119	-1.0	-0.51934917238214
11	67	-50.0	-0.558738375747102
11	90	-17.0	-0.503937131559167
11	68	-88.0	-0.514784315952265
11	101	-3.0	-0.538100900598395
11	120	-2.0	-0.504763547756697
11	103	-9.0	-0.503340403186224
11	91	-2.0	-0.555483939028264
11	92	-8.0	-0.530914009688808
11	104	-4.0	-0.491664541361814
11	105	-1.0	-0.465725068371007
11	108	-1.0	-0.506639266567121
109	14	-4.0	-0.466606154932476
109	29	-6.0	-0.567070889776308
109	36	-2.0	-0.50810785319963
110	14	-1.0	-0.555335446669581
110	29	-1.0	-0.584658479208944
111	14	-1.0	-0.466971332357879
111	29	-1.0	-0.496124596354446
53	14	-29.0	-0.551078341690038
53	15	-1.0	-0.479134505771563
53	17	-6.0	-0.488235126177451
53	19	-1.0	-0.475894184698307
53	25	-5.0	-0.567347940469538
53	28	-1.0	-0.456715157348247
53	29	-26.0	-0.565664907690952
53	31	-6.0	-0.580912515963299
53	33	-1.0	-0.524006807800332
53	34	-5.0	-0.509449246441787
53	35	-3.0	-0.576683290356523
53	36	-20.0	-0.503594128232983
53	41	-2.0	-0.506122255193923
53	42	-1.0	-0.406469539916714
53	43	-1.0	-0.507075469078513
12	55	-2.0	-0.564559425404401
12	58	-3.0	-0.501910504141693
12	60	-2.0	-0.46691494350508
12	61	-2.0	-0.529274109204136
12	64	-3.0	-0.541618270792432
12	65	-2.0	-0.498389399729005
12	66	-2.0	-0.599575281383575
12	70	-2.0	-0.53735910168242
96	14	-1.0	-0.528248235288388
96	15	-1.0	-0.589138430869169
96	17	-1.0	-0.510656778886444
96	28	-1.0	-0.5031498494879
96	29	-1.0	-0.548222698715516
96	31	-1.0	-0.55496139339167
96	34	-1.0	-0.494216150177213
96	36	-1.0	-0.549321962162163
96	42	-1.0	-0.543265738947647
112	14	-1.0	-0.471834762903164
112	29	-1.0	-0.487027337740455
112	36	-1.0	-0.447756292888911
54	14	-196.0	-0.587156946117514
54	15	-33.0	-0.599251482086328
54	17	-73.0	-0.533454402571898
54	18	-10.0	-0.563517419372766
54	19	-7.0	-0.558218147537204
54	20	-4.0	-0.537079418742357
54	22	-1.0	-0.527295470354033
54	24	-4.0	-0.510167858012873
54	25	-30.0	-0.533575680468629
54	27	-1.0	-0.564331919268909
54	28	-43.0	-0.540591855697418
54	30	-2.0	-0.518057133705312
54	31	-31.0	-0.512952415556799
54	32	-5.0	-0.53269144474664
54	33	-7.0	-0.505290691907016
54	34	-50.0	-0.569492796197506
54	35	-15.0	-0.578929201531868
54	37	-2.0	-0.527133985494484
54	39	-2.0	-0.519316350498224
54	41	-8.0	-0.554380706737449
54	42	-48.0	-0.593906253989683
54	43	-4.0	-0.561144467241128
13	58	-3.0	-0.538174237418341
13	61	-1.0	-0.576119304347429
13	64	-2.0	-0.564759284588008
13	65	-1.0	-0.507171340023553
113	14	-1.0	-0.592566592108087
113	29	-1.0	-0.553718768742075
113	36	-1.0	-0.524804616624531
14	122	-1.0	-0.548022584787937
14	114	-1.0	-0.572818783320804
14	56	-29.0	-0.597380721742057
14	59	-78.0	-0.524375613900396
14	107	-4.0	-0.552999227558472
14	123	-2.0	-0.460254316021195
14	116	-4.0	-0.439612632763047
14	97	-4.0	-0.525853612960399
14	124	-1.0	-0.462832293735186
14	98	-2.0	-0.562276122465019
14	99	-22.0	-0.538467766470094
14	63	-68.0	-0.599945500173593
14	117	-3.0	-0.479202205932983
14	75	-14.0	-0.578376181791261
14	88	-11.0	-0.552500339483005
14	118	-1.0	-0.567789824449708
14	89	-7.0	-0.59247421988659
