nearestTranscript	Occurance
uc003szv.3	1
uc010fyt.1	1
uc002sle.3	1
uc010dzx.1	1
uc003mag.2	1
uc009vqe.1	1
uc010xpo.2	1
uc003uva.3	1
uc001atv.3	1
uc022bpq.1	1
uc001fcz.3	1
uc002tlo.2	1
uc010msd.3	1
uc003oay.4	1
uc002dlm.1	1
uc002umd.3	1
uc021oig.1	1
uc003egl.3	1
uc009zer.2	1
uc002rdu.1	1
uc001mpr.4	1
uc001unr.4	1
uc002xeu.3	1
uc003cjg.3	1
uc010qil.2	1
uc003dno.3	1
uc003lfi.3	1
uc002klo.3	1
uc001rta.4	1
uc002cfl.4	1
uc010ied.1	1
uc001aie.3	1
uc003qoo.4	1
uc010ujr.2	1
uc010bsf.3	1
uc002ugm.3	1
uc002aqd.4	1
uc002wue.4	1
uc002stx.2	1
uc021xbq.1	1
uc011bif.1	1
uc001dsg.3	1
uc001sbm.3	1
uc010pbm.1	1
uc003oku.4	1
uc010tht.1	1
uc031ron.1	1
uc004dsc.3	1
uc003ycz.4	1
uc003gva.2	1
uc004cii.1	1
uc002ffi.2	1
uc002bws.3	1
uc003nxe.3	1
uc001gxl.2	1
uc003tfa.3	1
uc003xce.3	1
uc031sbr.1	1
uc003sqx.2	1
uc021pqq.1	1
uc002emo.4	1
uc003dub.1	1
uc003tzg.4	1
uc001kil.2	1
uc001uzw.3	1
uc001czm.5	1
uc002efl.3	1
uc003vpd.2	1
uc003jpx.3	1
uc002pft.1	1
uc010cfe.3	1
uc010uvu.1	1
uc021wqe.2	1
uc003fyk.2	1
uc001rqj.4	1
uc001srj.2	1
uc002row.1	1
uc003mzt.3	1
uc009zoc.1	1
uc002uic.1	1
uc002dcg.3	1
uc001vnn.1	1
uc002snd.3	1
uc003luk.3	1
uc002ybb.3	1
uc001rgr.3	1
uc003npb.3	1
uc002kud.2	1
uc001tsa.2	1
uc021rjc.1	1
uc021wln.1	1
uc010cwr.2	1
uc002apc.3	1
uc001hci.2	1
uc002ruq.3	1
uc001ngo.4	1
uc003wtw.2	1
uc001hpo.3	1
uc001bez.1	1
uc003prd.2	1
uc002xzi.3	1
uc010wlt.1	1
uc010vdk.1	1
uc001ije.3	1
uc001jbo.3	1
uc002vaz.4	1
uc002vwp.1	1
uc003osb.2	1
uc001bps.3	1
uc001mys.2	1
uc001kfj.4	1
uc003bru.3	1
uc011bfb.1	1
uc010tsb.2	1
uc003iog.3	1
uc002ree.2	1
uc001qik.1	1
uc011auw.2	1
uc010gke.1	1
uc001eao.3	1
uc010bka.3	1
uc002ewf.2	1
uc002fzk.1	1
uc001ked.2	1
uc011anj.2	1
uc001nsz.1	1
uc003lzu.3	1
uc010wtr.1	1
uc010ymn.1	1
uc003clu.2	1
uc001cux.3	1
uc003jfj.3	1
uc001ujc.1	1
uc003ctk.3	1
uc003mwc.3	1
uc010rjp.2	1
uc021vlx.1	1
uc002jmm.3	1
uc009yhx.4	1
uc001ydw.2	1
uc004chz.3	1
