subjectHits	Occurance
20566	1
7796	1
34050	1
12780	1
5043	1
15995	1
40854	1
31181	1
16654	1
4208	1
39481	1
11740	1
31113	1
36271	1
42029	1
8466	1
26261	1
19840	1
323	1
12161	1
8761	1
6024	1
14741	1
40054	1
11267	1
28173	1
10688	1
38098	1
22392	1
10936	1
1630	1
20414	1
39557	1
37514	1
32522	1
16928	1
9775	1
38514	1
20169	1
40975	1
32275	1
3568	1
16749	1
40908	1
4187	1
27414	1
6527	1
10288	1
42091	1
28665	1
14769	1
21303	1
15285	1
35563	1
10128	1
23915	1
20984	1
10523	1
41166	1
22336	1
14928	1
24232	1
949	1
24456	1
12423	1
11775	1
26535	1
20527	1
1360	1
3844	1
32893	1
39666	1
32836	1
7285	1
36188	1
6004	1
15528	1
20246	1
252	1
13823	1
4667	1
4453	1
25649	1
13638	1
1811	1
37168	1
16668	1
32559	1
30441	1
36983	1
27761	1
36432	1
32188	1
16317	1
31226	1
11810	1
10675	1
16116	1
3624	1
25747	1
34946	1
26521	1
10030	1
1296	1
9921	1
32710	1
26161	1
31227	1
24418	1
31806	1
15625	1
22457	1
8768	1
28181	1
5939	1
9540	1
30425	1
11410	1
33458	1
9473	1
12814	1
27688	1
39153	1
3451	1
40090	1
1996	1
5434	1
29503	1
8671	1
40380	1
17946	1
2415	1
29667	1
41331	1
15974	1
36927	1
35694	1
11812	1
10517	1
25471	1
39746	1
24744	1
29537	1
24065	1
5516	1
5375	1
19527	1
34755	1
20972	1
7970	1
32853	1
11917	1
36729	1
22007	1
40018	1
42014	1
38510	1
6571	1
39353	1
16494	1
8923	1
40099	1
14320	1
22670	1
19540	1
25758	1
32183	1
2460	1
32339	1
33270	1
10796	1
5932	1
33281	1
39966	1
35416	1
28693	1
423	1
28568	1
9720	1
16595	1
35936	1
21168	1
7004	1
8330	1
23802	1
34125	1
31135	1
39948	1
35882	1
18862	1
11141	1
37311	1
4518	1
22296	1
16471	1
36955	1
12168	1
20070	1
26373	1
34444	1
13795	1
10069	1
3911	1
7984	1
31582	1
2313	1
21155	1
9598	1
13476	1
30821	1
33344	1
27642	1
37003	1
28086	1
41101	1
39700	1
11371	1
7276	1
10019	1
40372	1
12994	1
18339	1
3810	1
36534	1
37333	1
15404	1
1143	1
19738	1
35299	1
4606	1
9620	1
40393	1
20833	1
24085	1
19419	1
39757	1
4816	1
18625	1
17488	1
19406	1
7910	1
2325	1
13220	1
25836	1
32996	1
16277	1
17154	1
22723	1
35207	1
36325	1
12724	1
13933	1
41008	1
35966	1
12446	1
41607	1
40810	1
28280	1
37300	1
28653	1
18794	1
9370	1
34686	1
28908	1
15632	1
4015	1
10758	1
10104	1
41872	1
6400	1
37101	1
23848	1
6728	1
1203	1
38799	1
15646	1
759	1
20767	1
27594	1
40175	1
11459	1
42064	1
27404	1
12957	1
233	1
29490	1
33899	1
15592	1
1926	1
15877	1
11863	1
22026	1
18880	1
41796	1
40179	1
26029	1
16741	1
36947	1
5984	1
36952	1
20278	1
35381	1
9799	1
26658	1
7906	1
12866	1
20844	1
29850	1
33200	1
28963	1
18414	1
4875	1
39813	1
36962	1
11942	1
25610	1
13261	1
147	1
8458	1
19475	1
35795	1
2994	1
1988	1
39872	1
32108	1
41150	1
23727	1
6263	1
4704	1
41553	1
14240	1
24765	1
30510	1
39004	1
41766	1
23677	1
493	1
37409	1
10330	1
29150	1
17138	1
23382	1
37644	1
16244	1
23808	1
22872	1
24728	1
23650	1
29479	1
23726	1
11800	1
31084	1
28465	1
16835	1
13102	1
37368	1
16337	1
3780	1
11715	1
25112	1
10130	1
17163	1
27210	1
27471	1
5881	1
24058	1
39237	1
18596	1
18841	1
2256	1
9338	1
4950	1
31836	1
3767	1
41049	1
29438	1
23221	1
29023	1
41283	1
14249	1
37630	1
20373	1
492	1
38652	1
39329	1
23794	1
20766	1
41739	1
31469	1
32916	1
36405	1
704	1
36173	1
16405	1
471	1
19574	1
35698	1
1792	1
2674	1
10265	1
15719	1
1416	1
4636	1
20321	1
27710	1
25694	1
2647	1
6511	1
31948	1
35607	1
31654	1
2477	1
21234	1
38422	1
30284	1
22285	1
9316	1
25337	1
33265	1
28523	1
41685	1
6611	1
30175	1
36683	1
41786	1
39516	1
34804	1
12394	1
5381	1
29681	1
19785	1
23413	1
28690	1
19539	1
18433	1
40944	1
1007	1
8930	1
28731	1
14106	1
40494	1
32638	1
41955	1
29955	1
18581	1
37270	1
25993	1
12958	1
2683	1
33915	1
18396	1
10575	1
22954	1
12488	1
10540	1
11990	1
24300	1
29971	1
27991	1
38186	1
2521	1
22017	1
15524	1
7523	1
29563	1
4755	1
15961	1
856	1
33092	1
6903	1
3639	1
8721	1
41280	1
14903	1
25992	1
38228	1
32162	1
14208	1
3581	1
10572	1
24349	1
32169	1
40174	1
40315	1
23507	1
8565	1
37607	1
21134	1
9479	1
39799	1
32744	1
7884	1
28994	1
42036	1
42153	1
31294	1
40824	1
28054	1
39682	1
3779	1
19855	1
2526	1
27806	1
8441	1
14905	1
26785	1
32008	1
206	1
31318	1
11187	1
13263	1
2257	1
6785	1
22566	1
23053	1
11308	1
13574	1
18572	1
9784	1
2225	1
5783	1
18262	1
23959	1
19556	1
20867	1
26784	1
32096	1
886	1
10436	1
37479	1
26256	1
6495	1
12333	1
27612	1
12649	1
19025	1
15838	1
363	1
41552	1
18943	1
17753	1
32074	1
412	1
2681	1
4894	1
38058	1
6981	1
37086	1
26162	1
7957	1
38455	1
31245	1
14216	1
11902	1
12661	1
41059	1
23764	1
37444	1
40168	1
35158	1
40888	1
34781	1
30107	1
3607	1
12303	1
29414	1
12378	1
14696	1
10975	1
34216	1
1483	1
33100	1
14506	1
40574	1
32390	1
2274	1
2898	1
5683	1
21921	1
1640	1
11452	1
1004	1
40049	1
21461	1
1694	1
15739	1
15611	1
20751	1
10259	1
28462	1
35730	1
19248	1
32189	1
174	1
28789	1
28684	1
42006	1
33471	1
29898	1
24867	1
3319	1
4926	1
24054	1
6806	1
28809	1
23926	1
40482	1
14408	1
22379	1
841	1
36887	1
10039	1
38188	1
11176	1
14941	1
28898	1
12726	1
1391	1
41742	1
7233	1
35816	1
20418	1
1482	1
22027	1
4993	1
4850	1
19795	1
27894	1
41781	1
37516	1
38601	1
6137	1
37429	1
16352	1
20058	1
13585	1
11905	1
16476	1
5654	1
29569	1
6849	1
22058	1
40446	1
1402	1
10665	1
31922	1
29644	1
7533	1
13993	1
4660	1
14564	1
13992	1
1718	1
40889	1
21667	1
5079	1
31961	1
27334	1
32221	1
15200	1
4780	1
31577	1
6637	1
28111	1
19566	1
15491	1
18275	1
27866	1
20965	1
29337	1
35340	1
266	1
22913	1
6374	1
12639	1
1104	1
25787	1
37794	1
8385	1
29440	1
39999	1
3652	1
24763	1
30436	1
29940	1
11857	1
39210	1
30393	1
36322	1
39433	1
25882	1
1373	1
13973	1
2792	1
32032	1
12491	1
28119	1
36811	1
262	1
4867	1
2950	1
14890	1
6202	1
19224	1
31722	1
6520	1
22137	1
33738	1
20170	1
404	1
15785	1
8502	1
24459	1
22450	1
30045	1
27739	1
41915	1
18569	1
8422	1
32254	1
30567	1
30431	1
30336	1
5372	1
34220	1
38477	1
14145	1
5364	1
14819	1
34172	1
40308	1
10931	1
1220	1
36829	1
18518	1
6463	1
31997	1
4771	1
30907	1
3383	1
39864	1
10041	1
35712	1
2664	1
2588	1
2078	1
26760	1
5186	1
40700	1
38488	1
17721	1
24598	1
37864	1
30778	1
34554	1
15728	1
5735	1
10489	1
39850	1
12837	1
21173	1
30814	1
39681	1
9601	1
35904	1
37441	1
30517	1
26120	1
4034	1
41691	1
3552	1
5541	1
1131	1
38311	1
11511	1
22810	1
19644	1
14813	1
37753	1
4094	1
32918	1
8508	1
19226	1
27958	1
22739	1
710	1
26401	1
24715	1
15033	1
7552	1
28384	1
40407	1
28810	1
23142	1
17014	1
1704	1
1251	1
11279	1
23833	1
27984	1
35220	1
9942	1
4772	1
9704	1
35497	1
38564	1
39423	1
37358	1
15005	1
39788	1
5646	1
40334	1
4779	1
5697	1
36760	1
6106	1
8753	1
29387	1
36049	1
12981	1
15474	1
41032	1
15095	1
11894	1
12093	1
29567	1
25597	1
35603	1
4131	1
41092	1
18957	1
30891	1
30337	1
17078	1
32997	1
37310	1
