gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
SLC25A6	21	AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	SLC25A6
ANXA1	980	ANX1|LPC1	ANXA1
ANXA2	952	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	ANXA2
ANXA3	187	ANX3	ANXA3
ANXA4	107	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	ANXA4
ANXA5	391	ANX5|CPB-I|ENX2|HEL-S-7|PP4|RPRGL3|VAC-alph	ANXA5
ANXA6	175	ANX6|CBP68|CPB-II|p68|p70	ANXA6
ANXA7	112	ANX7|SNX|SYNEXIN	ANXA7
ANXA11	93	ALS23|ANX11|CAP-50|CAP50|IBMWMA	ANXA11
ANXA13	23	ANX13|ISA	ANXA13
AOAH	71	-	AOAH
AOC2	34	DAO2|RAO|SSAO	AOC2
AOX1	799	AO|AOH1	AOX1
APAF1	2089	APAF-1|CED4	APAF1
NUDT2	18	APAH1|IDDPN	NUDT2
APOF	67	Apo-F|LTIP	APOF
APBA1	156	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	APBA1
APBA2	92	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	APBA2
APBB1	200	FE65|MGC:9072|RIR	APBB1
APBB2	44	FE65L|FE65L1	APBB2
APC	32769	BTPS2|DESMD|DP2|DP2.5|DP3|GS|PPP1R46	APC
APCS	10172	HEL-S-92n|PTX2|SAP	APCS
AIRE	2171	AIRE1|APECED|APS1|APSI|PGA1	AIRE
APEH	64	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	APEH
APEX1	1476	APE|APE1|APEN|APEX|APX|HAP1|REF1	APEX1
BIRC2	333	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	BIRC2
BIRC3	679	AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2	BIRC3
XIAP	4340	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	XIAP
BIRC5	5733	API4|EPR-1	BIRC5
APLP1	285	APLP	APLP1
APLP2	326	APLP-2|APPH|APPL2|CDEBP	APLP2
APOA1	3449	HPALP2|apo(a)	APOA1
APOA2	318	Apo-AII|ApoA-II|apoAII	APOA2
APOA4	327	-	APOA4
APOB	16208	FCHL2|FLDB|LDLCQ4|apoB-100|apoB-48	APOB
APOBEC1	498	APO1|APOBEC-1|BEDP|CDAR1|HEPR	APOBEC1
APOC1	365	Apo-CI|ApoC-I|apo-CIB|apoC-IB	APOC1
AQP8	359	AQP-8	AQP8
APOC2	1348	APO-CII|APOC-II	APOC2
APOC3	737	APOCIII|Apo-C3|ApoC-3	APOC3
APOC4	50	APO-CIV|APOC-IV	APOC4
APOD	690	-	APOD
APOE	33132	AD2|APO-E|ApoE4|LDLCQ5|LPG	APOE
APOH	228	B2G1|B2GP1|BG	APOH
APP	42511	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4	APP
APRT	852	AMP|APRTD	APRT
KLK3	1689	APS|KLK2A1|PSA|hK3	KLK3
FAS	43177	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	FAS
FASLG	4549	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	FASLG
SHROOM2	29	APXL|HSAPXL	SHROOM2
AQP1	2480	AQP-CHIP|CHIP28|CO	AQP1
AQP2	1942	AQP-CD|NDI2|WCH-CD	AQP2
AQP3	1387	AQP-3|GIL	AQP3
AQP4	4739	MIWC|WCH4|hAQP4	AQP4
AQP5	1135	AQP-5|PPKB	AQP5
AQP6	112	AQP2L|KID	AQP6
AQP7	404	AQP7L|AQPap|GLYCQTL	AQP7
AQP9	624	AQP-9|HsT17287|SSC1|T17287	AQP9
AR	239121	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	AR
ABCC6	596	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	ABCC6
ARAF	1162	A-RAF|ARAF1|PKS2|RAFA1	ARAF
ARCN1	25	COPD|SRMMD|SSMG	ARCN1
TRIM23	35	ARD1|ARFD1|RNF46	TRIM23
AREG	1277	AR|AREGB|CRDGF|SDGF	AREG
ARF1	1124	PVNH8	ARF1
ARF3	213	-	ARF3
ARF4	170	ARF2	ARF4
ARL4D	25	ARF4L	ARL4D
ARF5	176	-	ARF5
ARF6	1176	-	ARF6
ARG1	3269	-	ARG1
ARG2	824	-	ARG2
RHOA	12511	ARH12|ARHA|EDFAOB|RHO12|RHOH12	RHOA
RHOB	1058	ARH6|ARHB|MST081|MSTP081|RHOH6	RHOB
RHOC	1001	ARH9|ARHC|H9|RHOH9	RHOC
RND3	266	ARHE|Rho8|RhoE|memB	RND3
RHOG	439	ARHG	RHOG
ARHGAP1	44	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	ARHGAP1
ARHGAP4	42	C1|RGC1|RhoGAP4|SrGAP4|p115	ARHGAP4
ARHGAP5	132	GFI2|RhoGAP5|p190-B|p190BRhoGAP	ARHGAP5
ARHGAP6	50	RHOGAP6|RHOGAPX-1	ARHGAP6
