gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
FRMD3	31	C10orf101|C1orf101	FRMD3
CATSPERE	3	TMEM146	CATSPERE
CATSPERD	6	-	CATSPERD
PLCXD2	2	Hobit	PLCXD2
ZNF683	25	-	ZNF683
ARHGAP30	19	GCAT2|GCET2|HGAL	ARHGAP30
GCSAM	40	-	GCSAM
RNF214	1	-	RNF214
C9orf43	1	C1orf192|Flattop|Fltp	C9orf43
CFAP126	2	DMML2433|IGLON4|KILON|Ntra	CFAP126
NEGR1	185	GPX5p|GPXP3|GPx-6|GSHPx-6|dJ1186N24|dJ1186N24.1	NEGR1
GPX6	62	RAD5|bA545I5.2	GPX6
SHPRH	58	-	SHPRH
CCDC96	5	-	CCDC96
KLHL34	2	U-IIB|U2B|UIIB|URP|UTS2D	KLHL34
UTS2B	34	SH3PX3|SH3PXD3C|SNX30	UTS2B
SNX33	16	MAP3K7IP3|NAP1	SNX33
TAB3	130	-	TAB3
C2orf72	1	-	C2orf72
FAM133B	4	HARP	FAM133B
ANKS4B	15	-	ANKS4B
SVIP	48	RN49018	SVIP
ALS2CL	11	1C7|CD337|LY117|MALS|NKp30	ALS2CL
NCR3	293	C6orf21|G6f|LY6G6|LY6G6D|NG32	NCR3
LY6G6F	7	-	LY6G6F
HSPA12A	38	MOB|MOB1|SMS1|TMEM23|hmob33	HSPA12A
SGMS1	141	CLIFAHDD|CanIon|IHPRF|IHPRF1|INNFD|VGCNL1|bA430M15.1	SGMS1
NALCN	168	DFNB6	NALCN
TMIE	92	WAP11	TMIE
WFDC11	2	WAP9|dJ688G8.2	WFDC11
WFDC9	2	GPCR|MGRG2|MRGX1|SNSR4	WFDC9
MRGPRX1	34	ASP|Calmbp1|MCPH5	MRGPRX1
ASPM	499	BOD1L|FAM44A	ASPM
BOD1L1	4	T2R39|T2R57	BOD1L1
TAS2R39	23	GPR60|T2R40|T2R58	TAS2R39
TAS2R40	5	T2R41|T2R59	TAS2R40
TAS2R41	4	T2R43|T2R52	TAS2R41
TAS2R43	20	T2R31|T2R44|T2R53|TAS2R44	TAS2R43
TAS2R31	13	GPR59|T2R45|ZG24P	TAS2R31
TAS2R45	3	T2R46|T2R54	TAS2R45
TAS2R46	20	T2R30|T2R47|TAS2R47	TAS2R46
TAS2R30	3	MSTP058|T2R19|T2R23|T2R48|TAS2R23|TAS2R48	TAS2R30
TAS2R19	15	T2R20|T2R49|T2R56|TAS2R49	TAS2R19
TAS2R20	6	T2R50|T2R51|TAS2R51	TAS2R20
TAS2R50	17	FIG1|LAAO|LAO|hIL4I1	TAS2R50
IL4I1	115	C9orf144B|FAM205A	IL4I1
SPATA31F1	0	CYPIVX1	SPATA31F1
CYP4X1	33	TUBB8P12	CYP4X1
TUBB8B	0	MAGI-3|dJ730K3.2	TUBB8B
MAGI3	76	EOS	MAGI3
PRSS33	10	ASC2|POP1|PYC1|cPOP1	PRSS33
PYDC1	10	C4orf7|FDC-SP	PYDC1
FDCSP	38	TIP|TIP41|TIPRL1	FDCSP
TIPRL	41	IPCA1|PCANAP1|PUMPCn|STAMP1|STMP	TIPRL
STEAP2	57	POC10|SLSN4	STEAP2
NPHP4	112	TAP2	NPHP4
SEC14L3	17	LINC00094|LP2477|NCRNA00094|SERLOC	SEC14L3
BRD3OS	1	T2R33	BRD3OS
TAS2R33	0	T2R36	TAS2R33
TAS2R36	0	T2R37	TAS2R36
TAS2R37	0	VMD2L2	TAS2R37
BEST4	34	HS6ST-3	BEST4
HS6ST3	25	GPIM|MAMDC3	HS6ST3
MDGA1	42	CT1.2|MAGE2	MDGA1
MAGEA2B	2	Le-PAS|NXF|PASD10|bHLHe79	MAGEA2B
NPAS4	235	Rgr	NPAS4
RGL4	9	-	RGL4
NPSA	269	DRLM	-
NAP1L5	27	GPR110|KPG_012|PGR19|hGPCR36	NAP1L5
ADGRF1	34	-	ADGRF1
PGBD2	1	-	PGBD2
PGBD3	10	LG72|SG72	PGBD3
DAOA	188	ATP5K2|ATP5L2	DAOA
ATP5MGL	0	C11orf31|C17orf10|SELH	ATP5MGL
SELENOH	21	-	SELENOH
SSX7	2	WAP12	SSX7
WFDC10B	0	IFNL2a|IFNL3a|IL-28A|IL28A	WFDC10B
IFNL2	153	IFN-lambda-3|IFN-lambda-4|IL-28B|IL-28C|IL28B|IL28C	IFNL2
IFNL3	1360	IL-29|IL29	IFNL3
IFNL1	337	AQPX1	IFNL1
AQP11	137	HOR5'Beta5|OR11-37	AQP11
OR51B5	9	OR11-160	OR51B5
OR10AG1	0	OR11-266	OR10AG1
OR5J2	1	MRXSMP|RAR2|RLGP	OR5J2
RAB40AL	15	CORD20|PIX1|TUWD12|WDR51B	RAB40AL
POC1B	36	zf31	POC1B
ZNF311	6	-	ZNF311
C10orf53	2	C10orf125|FUCU|FucM	C10orf53
FUOM	1	C10orf14|C10orf39|Jamip3|NECC2|bA140A10.5	FUOM
JAKMIP3	4	PKE|YANK3	JAKMIP3
STK32C	8	BLOS2|BORCS2|CEAP|CEAP11	STK32C
BLOC1S2	29	-	BLOC1S2
RBM20	160	FAM22E	RBM20
NUTM2E	1	C10orf48|IFRX|IRXL1	NUTM2E
MKX	93	-	MKX
OR4C13	1	OR11-259	OR4C13
OR4C12	3	CSNK2A1P	OR4C12
CSNK2A3	4	OR11-36|OR51A12	CSNK2A3
OR51V1	3	-	OR51V1
TRIM49B	1	C11orf85	TRIM49B
MAJIN	61	-	MAJIN
SLC25A45	10	B9L|BCL9-2|DLNB11	SLC25A45
BCL9L	76	DLNB13|FOXN5	BCL9L
FOXR1	20	-	FOXR1
CCDC153	1	JCG9|OR8D3|OST004|PDJ9J14	CCDC153
OR8D1	2	JCG2	OR8D1
OR8D2	1	OR11-315|OR8B4P	OR8D2
OR8B4	2	OR11-216	OR8B4
OR9G4	0	-	OR9G4
P4HA3	44	BM32A|NEDHFS|PMMLP	P4HA3
PGM2L1	11	-	PGM2L1
KLHL35	12	KCASH2	KLHL35
KCTD21	7	EFCAB4A	KCTD21
CRACR2B	1	-	CRACR2B
TMEM80	4	BRLZ|CCDC88|HKRP3|gipie	TMEM80
CCDC88B	11	-	CCDC88B
TTC9C	1	NET46	TTC9C
SLC22A24	18	-	SLC22A24
RCOR2	64	C11orf77	RCOR2
HARBI1	7	IGFN2	HARBI1
IGSF22	1	JCG5|OR10A4P	IGSF22
OR10A4	3	MVAL564|UNQ564	OR10A4
OLFML1	9	C12orf64|DFNB84B	OLFML1
OTOGL	21	CD163B|M160|SCARI2|STAR|WC1	OTOGL
CD163L1	20	Zfp740	CD163L1
ZNF740	4	RASSF5	ZNF740
RASSF3	23	-	RASSF3
B4GALNT3	27	-	B4GALNT3
OR6C6	0	ANKRD33	OR6C6
ANKRD52	12	LZT-Hs7|MYP24|ZIP5	ANKRD52
SLC39A5	41	-	SLC39A5
SPRYD4	5	GPR133|PGR25	SPRYD4
ADGRD1	26	-	ADGRD1
MORN3	6	SPATA34|SPGF9	MORN3
DPY19L2	76	CD370|DNGR-1|DNGR1|UNQ9341	DPY19L2
CLEC9A	194	G2L3	CLEC9A
GAS2L3	19	CCHS2	GAS2L3
MYO1H	19	C12ord51|C12orf51|HEEL|NEDSSCC|POTAGE	MYO1H
HECTD4	29	-	HECTD4
KSR2	79	15E1.2|COXPD42	KSR2
GATC	893	HEL-206|HEL-S-94	GATC
C12orf40	1	MUC-19	C12orf40
MUC19	86	GLT8D3	MUC19
GXYLT1	14	CT151	GXYLT1
TMPRSS12	6	C13orf8|CAMP|CHAMP|MRD40|NEDHILD|ZNF828	TMPRSS12
CHAMP1	27	-	CHAMP1
SIAH3	14	DLTET	SIAH3
KCNRG	19	LINC00282|NCRNA00282	KCNRG
TMEM272	2	FKSG16	TMEM272
SLC46A3	17	TM7SF1L2	SLC46A3
GPR137C	1	PROX-2	GPR137C
PROX2	14	C14orf59	PROX2
ZDHHC22	7	FAM15B	ZDHHC22
TMED8	2	C14orf68|HDCMP|HDMCP|HMFN1655	TMED8
SLC25A47	7	OR14-10|OR4K3P	SLC25A47
OR4K3	0	C14orf20|STK22E|TSK-4|TSK4|TSSK5	OR4K3
TSSK4	20	C14orf24	TSSK4
FAM177A1	8	CEP170R|FAM68C|KIAA0284	FAM177A1
CEP170B	3	C14orf80	CEP170B
TEDC1	1	JSX|NCKX5|OCA6|SHEP4	TEDC1
SLC24A5	150	IGDCC5	SLC24A5
PRTG	37	C15orf60|CT147|OOMD10|OZEMA10	PRTG
REC114	48	CT105	REC114
GOLGA6L2	6	OR15-1|OR15-5	GOLGA6L2
OR4N4	3	FAM154B	OR4N4
SAXO2	5	-	SAXO2
FAM98B	9	cPLA2delta	FAM98B
PLA2G4D	16	-	PLA2G4D
GOLGA6L1	1	GOLGA8F	GOLGA6L1
GOLGA8G	1	Fbl22	GOLGA8G
FBXL22	6	Nomo|PM5	FBXL22
NOMO2	5	CCDC79|SPGF60	NOMO2
TERB1	20	CES6|CES8	TERB1
CES4A	2	EXOC3L	CES4A
EXOC3L1	6	L8|L8C|PPL8|PPNPW	EXOC3L1
NPW	253	C16orf79	NPW
BRICD5	2	AUM|G3PP|PGPase	BRICD5
PGP	16356	G029442|LA16c-380H5.1|LA16c-380H5.3|LINC00514	PGP
GREP1	3	SAIL	GREP1
C16orf54	2	CCDC95	C16orf54
INO80E	8	-	INO80E
NUDT7	34	-	NUDT7
ZNF843	1	-	ZNF843
NHLRC4	0	C16orf91|CCSMST1|URLC5|gs103	NHLRC4
UQCC4	0	-	UQCC4
TMEM114	8	MRCL|MRCL3	TMEM114
CLEC18C	4	FP18279	CLEC18C
FADS6	16	17orf28|C17orf28|DEE105|DMC1|HID-1	FADS6
HID1	29	PCH2A|PCH4|PCH5|SEN54L|sen54	HID1
TSEN54	48	FAM100B	TSEN54
UBALD2	0	ARGM1	UBALD2
TMEM235	3	-	TMEM235
CCDC57	15	HEXDC	CCDC57
HEXD	14	ERGA6350|PRO21055	HEXD
VMO1	23	-	VMO1
C17orf58	1	Allergin-1|C17orf60|MCA-32|MCA32	C17orf58
MILR1	22	LINC02581	MILR1
RNF227	0	-	RNF227
CDRT4	2	C17DELq21.31|CENP-36|DEL17Q21.31|KDVS|KIAA1267|MSL1v1|NSL1|hMSL1v1	CDRT4
KANSL1	103	C17orf105	KANSL1
CFAP97D1	1	-	CFAP97D1
FAM171A2	2	C17orf104	FAM171A2
MEIOC	8	TTL.6	MEIOC
TTLL6	20	JCK|NEK12A|NPHP9|RHPD2	TTLL6
NEK8	77	Gwt1|HPMRS5	NEK8
PIGW	29	-	PIGW
C17orf78	0	MiNT|Miner2	C17orf78
CISD3	18	FKSG9|GSDM|GSDM1	CISD3
GSDMA	131	DEE25|EIEE25|INDY|NACT|mIndy	GSDMA
SLC13A5	115	CBAP	SLC13A5
TMEM102	5	CAVIN|CGL4|FKSG13|PTRF|cavin-1	TMEM102
CAVIN1	258	-	CAVIN1
SLC26A11	25	-	SLC26A11
ENDOV	96	GDE4	ENDOV
GDPD1	5	C17orf89|MC1DN34	GDPD1
NDUFAF8	2	-	NDUFAF8
LGALS9B	2	-	LGALS9B
METRNL	135	LAMA|PTBHS|S-LAM-alpha	METRNL
LAMA1	165	C18orf5	LAMA1
KCTD1	34	C18orf26	KCTD1
DYNAP	13	BOD1P|FAM44C	DYNAP
BOD1L2	2	CD33L3|HsT1361|SIGLEC-15	BOD1L2
SIGLEC15	125	PRG-3|PTGR-3|ZADH2	SIGLEC15
PTGR3	2	C18orf62	PTGR3
SMIM21	0	ACC-6|ACC6|C18orf53|HSMD-v	SMIM21
HMSD	20	S5D-SRCRB	HMSD
SSC5D	14	MIP-2A|SEDLP1|TRAPPC2.19|TRAPPC2B|TRAPPC2P1	SSC5D
ZNF547	1	ZNF762	ZNF547
ZIK1	14	-	ZIK1
ZNF776	0	MZF-1|ZNF915	ZNF776
ZSCAN1	6	ZNF780	ZSCAN1
ZNF780A	4	C19orf54	ZNF780A
ACTMAP	2	-	ACTMAP
PRR19	1	-	PRR19
TMEM145	2	DMC|Dcip1|UNQ473|VCC-1|VCC1	TMEM145
CXCL17	98	-	CXCL17
ZNF575	2	HALDISIN|PRO4356	ZNF575
LYPD5	6	HZF19|HZF41	LYPD5
ZNF283	3	LRRC68	ZNF283
PPP1R37	1	-	PPP1R37
NKPD1	1	TPRX	NKPD1
TPRX1	8	MASTR	TPRX1
MAMSTR	7	IZUMO|OBF	MAMSTR
IZUMO1	134	C19orf63|HSM1|HSS1|NEDDFAS	IZUMO1
EMC10	23	KLK-L3|KLKL3	EMC10
KLK9	40	C19orf75|SIGLEC23P|SIGLECP7	KLK9
SIGLECL1	3	-	SIGLECL1
ZNF615	3	-	ZNF615
ZNF841	0	HSD21|SPGF53	ZNF841
ACTL9	16	OR19-4|OR2Z2	ACTL9
OR2Z1	1	ZNF|ZNF440L	OR2Z1
ZNF763	1	-	ZNF763
ZNF844	1	SCGB4A2|SCGBL	ZNF844
SCGB2B2	2	C19orf14|MCPH2	SCGB2B2
WDR62	122	ZNF545	WDR62
ZFP82	13	SIRL-1|SIRL1|UNQ3033	ZFP82
VSTM1	28	DRAM3|TMEM224|TTN2	VSTM1
TMEM150B	10	C19orf16|FAM71E2	TMEM150B
GARIN5B	0	C19orf77|HSPC323|MARDI	GARIN5B
SMIM24	0	APC4|SCaMC-3L	SMIM24
SLC25A41	5	-	SLC25A41
MBD3L5	0	OR19-25|OR19-26	MBD3L5
OR10H5	1	-	OR10H5
NWD1	17	MECREN	NWD1
SLC25A42	20	-	SLC25A42
ZNF493	6	C19orf19|ODF3L2	ZNF493
CIMAP1D	0	HKR1	CIMAP1D
ZNF875	4	FAM19A3|TAFA-3	ZNF875
TAFA3	4	C1orf230|NCRNA00166	TAFA3
RIIAD1	2	ACOT15	RIIAD1
THEM5	8	-	THEM5
C1orf167	5	OR2L14	C1orf167
OR2L13	11	NHE11|SLC9A11	OR2L13
SLC9C2	4	OR5AT1	SLC9C2
OR14A16	0	-	OR14A16
CYP4A22	25	-	CYP4A22
C1orf185	1	AB14|AG3|NBPF16	C1orf185
NBPF15	4	FAM102B|SYM-3B	NBPF15
EEIG2	0	MG29	EEIG2
SYPL2	11	-	SYPL2
CYB561D1	1	ANKRD34	CYB561D1
ANKRD34A	1	CRISTIN3|RSPO	ANKRD34A
RSPO1	341	DFNA88	RSPO1
EPHA10	50	C1orf111|HSD20|TEKT2BP2	EPHA10
SPATA46	6	ZAN75|ZIRD|Zfp326|dJ871E2.1	SPATA46
ZNF326	14	KIAA1107	ZNF326
BTBD8	4	FAM80A|NAAGS|NAAGS-II|NAAGS2	BTBD8
RIMKLA	4	-	RIMKLA
SLC25A34	5	LINC00176|NCRNA00176|PRR17	SLC25A34
C20orf204	3	PTPN1L|PTPNS1L3|dJ776F14.2	C20orf204
SIRPB2	8	-	SIRPB2
C20orf203	5	KAP13.4	C20orf203
KRTAP13-4	1	TAP3	KRTAP13-4
SEC14L4	7	SLNK	SEC14L4
SH2D6	5	-	SH2D6
NT5DC4	1	-	NT5DC4
CCDC150	4	DNAPTP2	CCDC150
RNF149	11	AUGA|FAM150B|PRO1097|RGPG542	RNF149
ALKAL2	17	CAMDI	ALKAL2
CCDC141	29	C2orf61|GSE	CCDC141
STPG4	0	C2orf85|CXXC11|Z3CXXC5	STPG4
RTP5	4	-	RTP5
FAM240C	0	CSP-gamma	FAM240C
DNAJC5G	3	-	DNAJC5G
ERICH2	1	-	ERICH2
IAH1	15	FAM126B	IAH1
HYCC2	0	C2orf21|UNC-80	HYCC2
UNC80	48	ZFYVE31	UNC80
RUFY4	8	RGP4	RUFY4
RGPD4	5	DUSP26|VHP	RGPD4
DUSP28	8	AUTS16|NHE9	DUSP28
SLC9A9	59	AER61|AOS4|C3orf64|EOGT1	SLC9A9
EOGT	45	EHK-2|EHK2|EK12|EPA6|HEK12|PRO57066	EOGT
EPHA6	76	FBW12|FBXO12|FBXO35	EPHA6
FBXW12	6	-	FBXW12
C3orf38	3	5-HT3-E|5-HT3E|5-HT3c1	C3orf38
HTR3E	34	-	HTR3E
ZNF619	1	-	ZNF619
ZNF621	6	PNCA5	ZNF621
RABL3	16	C3orf56	RABL3
PRR23E	0	CMF608	PRR23E
IGSF10	30	AC3-33	IGSF10
C3orf33	3	-	C3orf33
CCDC66	29	NHE|NHE-10|SLC9A10|sperm-NHE	CCDC66
SLC9C1	19	C3orf23|TOAG-1|TOAG1	SLC9C1
TCAIM	8	-	TCAIM
ZNF852	2	-	ZNF852
ZNF660	1	AAPA3037|FGE|UNQ3037	ZNF660
SUMF1	127	-	SUMF1
RPUSD3	4	-	RPUSD3
PRRT3	19	DELGIP|DELGIP1|DESR1|DPH3A|KTI11|ZCSL2	PRRT3
DPH3	33	-	DPH3
C3orf70	4	FAM79B	C3orf70
TPRG1	14	-	TPRG1
IQCM	4	WDR21B	IQCM
DCAF4L1	1	BCD|CYP4AH1	DCAF4L1
CYP4V2	150	C4orf25|CMS10|CMS1B|FADS3	CYP4V2
DOK7	187	SPGF62|ZHP3	DOK7
RNF212	36	GRIN3	RNF212
GPRIN3	7	COX18HS|OXA1L2	GPRIN3
COX18	34	FinGER9	COX18
YIPF7	4	AF4p12|KIAA0826|MOR2	YIPF7
FRYL	18	-	FRYL
RNF175	4	C4orf53	RNF175
FAM200B	1	C4orf37	FAM200B
STPG2	2	FOPV	STPG2
C4orf54	1	-	C4orf54
EFCAB9	8	FAD49|FTHS|HOFI|KIAA1295|TKS4|TSK4	EFCAB9
SH3PXD2B	48	NY-REN-7	SH3PXD2B
FAM153A	0	ARL10A	FAM153A
ARL10	3	C5orf36|PAPA10	ARL10
KIAA0825	11	PGR11	KIAA0825
GPR150	6	-	GPR150
DTWD2	7	C5orf16	DTWD2
RELL2	10	C5orf51	RELL2
RIMOC1	0	PAT3|TRAMD2|tramdorin2	RIMOC1
SLC36A3	4	-	SLC36A3
KIF4B	12	OR2V3|OST713	KIF4B
OR2V2	0	RINES	OR2V2
RNF180	33	P18SRP|SFRS12IP1	RNF180
SREK1IP1	2	-	SREK1IP1
ZNF454	3	DRAGON	ZNF454
RGMB	97	C6orf182|bA487F23.2|cep57R	RGMB
CEP57L1	4	PPIase|RSPH12|bA425D10.6|dJ919F19.1	CEP57L1
PPIL6	0	dJ94G16.1	PPIL6
DCBLD1	23	CT3|CT95|CTAG3|bA69L16.7	DCBLD1
CAGE1	29	-	CAGE1
PRR18	2	ARCI10|dJ50J22.1	PRR18
PNPLA1	69	TLT-4|TLT4	PNPLA1
TREML4	24	dJ475N16.4	TREML4
RPL7L1	5	-	RPL7L1
POM121L12	1	-	POM121L12
CNPY1	11	Ringo1|SPDYB2L2|SPDYE|WBSCR19	CNPY1
SPDYE1	1	FAM115C|FAM139A|GATD9|GATD9B	SPDYE1
TCAF2	6	-	TCAF2
ZNF775	3	APG9L2|NOS3AS|SONE	ZNF775
ATG9B	57	-	ATG9B
ZNF789	2	C7orf53	ZNF789
LSMEM1	4	C8orf21|C8orf5|C8orf7|XRG6	LSMEM1
XKR6	30	C8orf36|MMS21|NSE2|ZMIZ7	XKR6
NSMCE2	39	-	NSMCE2
ZNF707	3	AI3|AI3A	ZNF707
FAM83H	124	EFHA2	FAM83H
MICU3	20	ZNF753|zfp-41	MICU3
ZFP41	2	NET33|Tesr	ZFP41
SCARA5	101	C8orf83|PRO0845|UPF0599	SCARA5
TRIQK	3	-	TRIQK
DPY19L4	1	EMI2|ERP1|FBX43|OOMD12|OZEMA12|SPGF64	DPY19L4
FBXO43	48	FAM77D|NKAIN3-IT1|UG0898H09	FBXO43
NKAIN3	3	LRRC67|TLLR|TLRR|dtr	NKAIN3
PPP1R42	2	FSGS9|VMCKD	PPP1R42
CRB2	223	C9orf126|NET40	CRB2
SCAI	1230	C9orf117	SCAI
CFAP157	3	C9orf79|FAM75E1	CFAP157
SPATA31E1	3	-	SPATA31E1
LCN12	4	C9orf142|XLS	LCN12
PAXX	54	C9orf75|DFNB79	PAXX
TPRN	21	CCDC89B|TSG-9|TSG9	TPRN
TUSC1	14	C9orf59	TUSC1
FAM78A	7	C9orf150|HYST0841|LRAP35b|bA3L8.2	FAM78A
LURAP1L	7	OR37L|OR9-13	LURAP1L
OR13C9	1	OR9-15	OR13C9
OR13D1	0	FOXD4B|FOXD4L2|FOXD4L4|FOXD6	OR13D1
FOXD4L3	3	ATPIG|ATPIQ|HACXL	FOXD4L3
ATP11C	49	CLRX.1|NALP2P|NLRP2P|NOD24|POP4	ATP11C
NLRP2B	0	H2BFM|H2BM	NLRP2B
H2BW2	0	FinGER6	H2BW2
YIPF6	14	CHDC2|CXorf22|CXorf30|CXorf59|SPGF52|SPGFX3	YIPF6
CFAP47	5	CT115	CFAP47
FAM133A	10	-	FAM133A
MAGEB18	5	TMSB15A|TMSL8|TMSNB|Tbeta15b	MAGEB18
TMSB15B	2	P2Y8	TMSB15B
P2RY8	95	DFNB42|ILDR1alpha|ILDR1alpha'|ILDR1beta	P2RY8
ILDR1	47	ALF|GTF2A1L|GTF2A1LF|SALF	ILDR1
STON1-GTF2A1L	4	BEC-1|DSPB1|IFITMD3|LOST1|TUSC5	STON1-GTF2A1L
TRARG1	15	BARA|BARPsv|Lin-9|TGS|TGS1|TGS2	TRARG1
LIN9	68	IFT80L|MRF1|RNF104|TRIM57|TSBF1	LIN9
TRIM59	123	K6E|KRT6E|PPKNEFD	TRIM59
KRT6C	59	PPP1R40|T4A1	KRT6C
TRIM42	1	eIF-4E3|eIF4E-3	TRIM42
EIF4E3	60	JBTS36|KIAA0974	EIF4E3
FAM149B1	6	-	FAM149B1
RFESD	2	V1RL2	RFESD
VN1R2	2	FKSG46|V1RL3|V1RL3p	VN1R2
VN1R3	0	V1RL4	VN1R3
VN1R4	2	V1RL5	VN1R4
VN1R5	2	SPGF11	VN1R5
KLHL10	23	SDR25C3	KLHL10
DHRS4L2	9	A26B3|ANKRD21|CT104.1|POTE|POTE-21|POTE21	DHRS4L2
POTED	2	POF18|SPGF52|Six6os1	POTED
C14orf39	10	-	C14orf39
CCDC85C	11	H2AB|HIST2H2AB	CCDC85C
H2AC21	0	-	H2AC21
DDX51	9	C14orf25|NCRNA00291	DDX51
TTC6	5	TA4|TAR4|TAR6|TRAR4|taR-4|taR-6	TTC6
TAAR6	26	CK-73|IRT6IRS3|K6IRS3|K73|KRT6IRS3	TAAR6
KRT73	4	Z3CXXC6	KRT73
ZAR1	164	-	ZAR1
RAB37	56	ATR|CFAP23|cblB|cob	RAB37
MMAB	123	GCET1|SERPINA11|SERPINA11b	MMAB
SERPINA9	22	PP2C-zeta|PP2CZ|PP2Czeta|PPP2CZ	SERPINA9
PPM1J	6	SMUC|SNAIL3|ZNF293|Zfp293	PPM1J
SNAI3	52	H3/n|H3/o|H3C13|H3C14|HIST2H3A	SNAI3
H3C15	0	PHGDHL1	H3C15
UBAC2	28	CHSY2|CSS3	UBAC2
CHSY3	18	KAP7.1	CHSY3
KRTAP7-1	5	KAP8.1	KRTAP7-1
KRTAP8-1	7	HACL-1|HACL1|KAP11.1	KRTAP8-1
KRTAP11-1	9	KAP19.1	KRTAP11-1
KRTAP19-1	1	KAP13-2	KRTAP19-1
KRTAP13-2	0	KAP13.3	KRTAP13-2
KRTAP13-3	2	KAP23.1	KRTAP13-3
KRTAP23-1	0	C21orf103|KAP6.1	KRTAP23-1
KRTAP6-1	5	KAP6.2	KRTAP6-1
KRTAP6-2	3	KAP6.3	KRTAP6-2
KRTAP6-3	5	KAP19.2	KRTAP6-3
KRTAP19-2	0	GTRHP|KAP19.3	KRTAP19-2
KRTAP19-3	0	KAP19.4	KRTAP19-3
KRTAP19-4	0	KAP19.5	KRTAP19-4
KRTAP19-5	0	KAP19.6	KRTAP19-5
KRTAP19-6	0	KAP19.7	KRTAP19-6
KRTAP19-7	0	KAP20.1	KRTAP19-7
KRTAP20-1	2	KAP20.2	KRTAP20-1
KRTAP20-2	2	KAP21.1	KRTAP20-2
KRTAP21-1	1	KAP21.2	KRTAP21-1
KRTAP21-2	1	KAP22.1	KRTAP21-2
KRTAP22-1	2	KAP19D|KAP20.3|KRTAP19P4	KRTAP22-1
KRTAP20-3	0	C1orf179	KRTAP20-3
FAM151A	1	CLR19.1|NALP9|NOD6|PAN12	FAM151A
NLRP9	36	CLR11.1|NALP10|NOD8|PAN5|PYNOD	NLRP9
NLRP10	47	CLR11.2|GC-LRR|NALP14|NOD5|PAN8	NLRP10
NLRP14	20	NICE-2|NICE2|S100A15|S100A7L1|S100A7f	NLRP14
S100A7A	69	GPI-HBP1|HYPL1D	S100A7A
GPIHBP1	261	CD368|CLEC-6|CLEC6|CLECSF8|Dectin-3|MCL|MPCL	GPIHBP1
CLEC4D	108	IFN-E|IFNE1|IFNT1|INFE1|PRO655	CLEC4D
IFNE	45	RAB7	IFNE
RAB7B	43	T2R56|T2R60	RAB7B
TAS2R60	6	PIG5|TMEM16J|TP53I5	TAS2R60
ANO9	23	GPR109A|HCA2|HM74a|HM74b|NIACR1|PUMAG|Puma-g	ANO9
HCAR2	248	BMIQ10|GPR120|GPR129|GT01|O3FAR1|OB10Q|PGR4	HCAR2
FFAR4	452	K2p18.1|MGR13|TRESK|TRESK-2|TRESK2|TRIK	FFAR4
KCNK18	91	SIA8F|SIAT8-F|SIAT8F|ST8SIA-VI|ST8SiaVI	KCNK18
ST8SIA6	43	DUPD1|DUSP27|FMDSP	ST8SIA6
DUSP29	1	KFSP2566|PRO6246	DUSP29
LUZP2	18	CCDC84|DLNB14|MVA4	LUZP2
CENATAC	1	PMP22CD|PPP1R154|SPATA47	CENATAC
TMEM225	4	OR11-275	TMEM225
OR8D4	3	-	OR8D4
VSIG10L2	1	OR11-10	VSIG10L2
OR5F1	0	OR9J1	OR5F1
OR5AP2	0	-	OR5AP2
ANKRD13D	5	PPP1R79|SARP	ANKRD13D
ANKRD42	3	-	ANKRD42
B4GALNT4	17	OR11-50	B4GALNT4
OR52L1	3	OR11-76|OR2AG2P	OR52L1
OR2AG2	2	C1QTNF11|CTRP11	OR2AG2
C1QL4	10	OBIF	C1QL4
TMEM119	190	K6L|KRT6L	TMEM119
KRT79	9	FAM19A2|TAFA-2	KRT79
TAFA2	9	AQL1|C1QTNF9A|CTRP9	TAFA2
C1QTNF9	13	RAH1|RNASE9	C1QTNF9
RNASE10	7	CHX10|HOX10|MCOP2|MCOPCB3|RET1	RNASE10
VSX2	209	-	VSX2
TMEM202	0	POL3S|UNQ308	TMEM202
PRSS53	8	RAB11B|RAB41	PRSS53
RAB43	29	C16orf20|PP14397	RAB43
JMJD8	23	FAM92B	JMJD8
CIBAR2	3	UNQ9390	CIBAR2
TMEM95	12	METTL2	TMEM95
METTL2A	3	-	METTL2A
C17orf67	5	ALK-SMase|E-NPP 7|NPP-7|NPP7	C17orf67
ENPP7	13	C17orf90	ENPP7
OXLD1	0	RaRF	OXLD1
CCDC137	6	-	CCDC137
ARL16	7	MSL-1	ARL16
MSL1	121	-	MSL1
LRRC30	2	CPX-IV|CPXIV	LRRC30
CPLX4	8	HHZ181	CPLX4
ZNF181	3	OZRF1|PEX1|ZFP260	ZNF181
ZNF260	2	ZNF49	ZNF260
ZNF546	1	P42pop	ZNF546
MYPOP	5	NOS2|ZC2HC12B	MYPOP
NANOS2	158	THSD6	NANOS2
ADAMTSL5	25	DTTR431|LP2698|LSECtin|UNQ431	ADAMTSL5
CLEC4G	47	DAAT9248|LRRN6D|PRO34002	CLEC4G
LINGO4	7	GPCR142|GPR100|RLN3R2|RXFPR4	LINGO4
RXFP4	80	CT117	RXFP4
ANKRD45	3	-	ANKRD45
C1orf174	2	AF	C1orf174
KLHL17	7	C1orf70|SCA21	KLHL17
TMEM240	19	-	TMEM240
